관할서,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0_12세,vic_age_10대,vic_age_2_30대,vic_age_4_50대,vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,전반적_발생수,전반적_검거수,전반적_검거율,화재건수,화재_사망,화재_부상,화재_인명피해_계,화재_부동산피해_천원,화재_동산피해_천원,화재_재산피해_천원,화재_재산피해_건당천원,cctv_개수,공원_개수,배치인원_수,보안등_개수,비상벨_개수,유흥업소_개수,일인가구수,자살건수,자살_사망률_10만명당,자살_연령표준화사망률_10만명당,총_인구수,기초수급_19세이하,기초수급_20_34세,기초수급_35_59세,기초수급_60세이상,기초수급_총합,외국인수,score_전반
서울강동경찰서,2017,10.0,0.0,6433.0,3491.0,0.0,159.0,0.0,281.0,0.0,1.0,205.0,290.0,1497.0,525.0,4.0,469.0,29.0,73.0,975.0,454.0,1.0,101.0,0.0,4074.0,13.0,2075.0,5236.0,3137.0,2207.0,89.0,577.0,3104.0,3508.0,1068.0,2234.0,2432.0,1545.0,1678.0,2081.0,2844.0,5212,4556,0.8740000000000001,269.0,0,12.0,12.0,188487.0,230106.0,418593.0,1556.0,2619,72,393,7505,1.0,213,41050.0,24,11.0,9.7,423978,19558,5976,23078,25727,74339,8196,74.2
서울강북경찰서,2017,22.0,0.0,4774.0,2665.0,0.0,152.0,0.0,1028.0,0.0,1.0,231.0,238.0,975.0,399.0,1.0,477.0,37.0,201.0,765.0,517.0,0.0,111.0,0.0,3162.0,9.0,1981.0,4509.0,2721.0,1643.0,78.0,611.0,2829.0,2801.0,901.0,1653.0,1588.0,1619.0,1438.0,1707.0,2521.0,4495,4875,1.085,186.0,0,6.0,6.0,134341.0,204805.0,339146.0,1823.0,2299,41,347,8430,21.0,184,39082.0,21,12.9,10.0,313698,29508,9281,35737,43051,117577,6487,69.4
서울강서경찰서,2017,18.0,8.0,7876.0,6086.0,1.0,164.0,2.0,450.0,1.0,4.0,109.0,548.0,1716.0,1982.0,2.0,1379.0,54.0,53.0,1292.0,730.0,1.0,139.0,3.0,4963.0,22.0,1835.0,6246.0,4094.0,4379.0,117.0,750.0,4332.0,3921.0,1193.0,4406.0,2788.0,2435.0,2496.0,2998.0,4002.0,4718,4094,0.868,364.0,3,22.0,25.0,342521.0,364350.0,706871.0,1942.0,2377,139,500,8573,735.0,289,68237.0,40,13.2,11.8,581675,31758,14649,51392,65237,163036,12532,70.0
서울관악경찰서,2017,11.0,0.0,8364.0,5580.0,1.0,131.0,0.0,439.0,0.0,1.0,115.0,461.0,1705.0,862.0,2.0,1566.0,56.0,123.0,1088.0,842.0,1.0,115.0,1.0,5192.0,23.0,2605.0,6463.0,4210.0,3969.0,233.0,814.0,4892.0,3373.0,1336.0,3994.0,2763.0,2595.0,2398.0,2830.0,4056.0,4223,3826,0.9059999999999999,286.0,3,20.0,23.0,320771.0,333919.0,654690.0,2289.0,4825,78,493,11882,814.0,272,106865.0,28,11.4,10.0,511222,21840,9395,31669,38508,101412,29335,67.75
서울광진경찰서,2017,15.0,1.0,6090.0,4573.0,1.0,113.0,0.0,231.0,0.0,1.0,139.0,432.0,1317.0,587.0,2.0,1049.0,208.0,70.0,882.0,504.0,0.0,84.0,2.0,4332.0,42.0,1653.0,4986.0,3090.0,3088.0,81.0,750.0,3670.0,2617.0,898.0,3148.0,2081.0,2055.0,1869.0,2194.0,2965.0,3219,3839,1.193,200.0,1,6.0,7.0,230322.0,203420.0,433742.0,2169.0,6459,34,380,9132,1329.0,93,54866.0,17,9.4,9.5,363934,18260,4472,17579,18554,58865,21216,70.65
서울구로경찰서,2017,19.0,1.0,7657.0,4010.0,0.0,189.0,1.0,387.0,0.0,1.0,136.0,331.0,1746.0,822.0,6.0,453.0,57.0,50.0,912.0,700.0,2.0,159.0,1.0,5263.0,34.0,1865.0,6084.0,3559.0,2758.0,103.0,613.0,3859.0,3836.0,1202.0,2788.0,2701.0,1485.0,1845.0,2670.0,3700.0,9733,8767,0.9009999999999999,260.0,1,5.0,6.0,112488.0,348080.0,460568.0,1771.0,3659,45,395,7816,605.0,107,42984.0,20,9.7,9.0,436869,16732,4593,17586,25170,64081,49996,71.3
서울금천경찰서,2017,8.0,1.0,4835.0,4324.0,1.0,85.0,0.0,201.0,0.0,1.0,68.0,349.0,1829.0,553.0,0.0,433.0,88.0,48.0,755.0,423.0,1.0,123.0,0.0,3226.0,13.0,1683.0,4361.0,2553.0,2610.0,67.0,386.0,2722.0,2920.0,788.0,2641.0,1677.0,1332.0,1577.0,2114.0,2824.0,8769,7414,0.845,174.0,2,7.0,9.0,163006.0,442543.0,605549.0,3480.0,4226,50,274,6260,465.0,118,32928.0,17,14.9,11.9,249930,18041,5505,22825,27046,73417,30317,68.0
서울남대문경찰서,2017,8.0,2.0,3007.0,1763.0,1.0,66.0,1.0,68.0,0.0,0.0,120.0,204.0,764.0,300.0,0.0,155.0,25.0,110.0,633.0,126.0,0.0,45.0,2.0,1853.0,1.0,818.0,2465.0,1424.0,1147.0,12.0,141.0,1778.0,1524.0,419.0,1162.0,1045.0,334.0,881.0,1564.0,1212.0,6930,7552,1.09,198.0,5,14.0,19.0,199688.0,285704.0,485392.0,2451.0,725,16,186,1137,153.0,88,3454.0,7,11.5,6.4,77492,5355,1318,9075,14915,30663,1948,70.15
서울노원경찰서,2017,24.0,16.0,6263.0,4369.0,5.0,178.0,1.0,354.0,1.0,2.0,123.0,418.0,1427.0,832.0,3.0,648.0,23.0,48.0,1227.0,766.0,0.0,283.0,0.0,4436.0,6.0,1219.0,5404.0,3422.0,2510.0,100.0,1031.0,3330.0,3230.0,1119.0,2526.0,2924.0,1621.0,1724.0,2275.0,2792.0,4733,4488,0.948,279.0,3,18.0,21.0,284890.0,281931.0,566821.0,2032.0,1998,167,415,4078,61.0,63,49265.0,40,14.0,11.4,543499,38389,18533,60426,71656,189004,6539,75.65
서울도봉경찰서,2017,13.0,17.0,3327.0,2443.0,0.0,95.0,2.0,69.0,0.0,0.0,232.0,278.0,1004.0,482.0,3.0,379.0,51.0,130.0,560.0,406.0,2.0,194.0,0.0,1838.0,7.0,864.0,2820.0,1868.0,1510.0,73.0,382.0,1533.0,1973.0,724.0,1513.0,1587.0,780.0,916.0,1344.0,1571.0,4088,3576,0.875,192.0,2,6.0,8.0,76077.0,212759.0,288836.0,1504.0,10,71,273,6337,622.0,68,29469.0,29,16.7,11.6,332586,26072,6713,23774,26428,82987,4145,71.85
서울동대문경찰서,2017,21.0,2.0,6137.0,3787.0,3.0,199.0,0.0,462.0,1.0,2.0,250.0,395.0,1616.0,1062.0,1.0,540.0,67.0,50.0,1159.0,500.0,2.0,161.0,1.0,3648.0,6.0,1656.0,5425.0,3055.0,2384.0,66.0,574.0,3021.0,3407.0,1390.0,2406.0,2096.0,1348.0,1943.0,2576.0,2901.0,3236,3485,1.077,200.0,1,2.0,3.0,475285.0,647169.0,1122454.0,5612.0,26,14,429,10730,2.0,150,54030.0,9,5.2,4.1,357380,19631,5890,25660,38161,89342,20374,73.0
서울동작경찰서,2017,25.0,10.0,4647.0,3328.0,4.0,134.0,0.0,303.0,0.0,1.0,235.0,338.0,1101.0,436.0,1.0,318.0,31.0,122.0,714.0,429.0,0.0,70.0,4.0,3861.0,5.0,1257.0,4094.0,2942.0,1651.0,77.0,578.0,3090.0,2392.0,896.0,1654.0,1554.0,1154.0,1525.0,1964.0,2490.0,6283,5399,0.8590000000000001,222.0,3,10.0,13.0,128070.0,149074.0,277144.0,1248.0,2033,53,353,8848,732.0,83,54355.0,24,11.9,9.1,400236,14196,4680,17033,24105,60014,18592,71.8
서울마포경찰서,2017,22.0,1.0,7790.0,6549.0,3.0,133.0,0.0,167.0,0.0,1.0,40.0,418.0,1892.0,915.0,2.0,1356.0,100.0,121.0,907.0,766.0,1.0,132.0,0.0,5797.0,40.0,2259.0,6662.0,4232.0,3812.0,73.0,1051.0,5627.0,3136.0,945.0,3874.0,2552.0,3175.0,2392.0,2854.0,3733.0,5773,4949,0.857,235.0,1,7.0,8.0,1051681.0,307348.0,1359029.0,5783.0,2317,82,458,7628,617.0,121,54162.0,29,15.0,12.9,368841,11417,5092,17224,23663,57396,13842,72.35
서울방배경찰서,2017,4.0,0.0,2245.0,1408.0,1.0,54.0,0.0,104.0,0.0,1.0,28.0,93.0,662.0,263.0,2.0,371.0,9.0,40.0,334.0,187.0,0.0,20.0,1.0,1500.0,6.0,357.0,1788.0,1050.0,1007.0,31.0,167.0,1172.0,1096.0,373.0,1006.0,726.0,492.0,736.0,907.0,984.0,4695,5219,1.112,242.0,2,13.0,15.0,284206.0,411461.0,695667.0,2875.0,2691,25,141,3231,1.0,24,10671.0,24,10.6,9.8,151407,9682,3940,10763,13078,37463,2364,77.75
서울서대문경찰서,2017,11.0,20.0,4458.0,3723.0,2.0,81.0,1.0,186.0,0.0,2.0,231.0,261.0,966.0,329.0,1.0,312.0,24.0,110.0,1491.0,359.0,0.0,81.0,1.0,3775.0,11.0,994.0,4342.0,2830.0,1543.0,63.0,692.0,3274.0,2280.0,861.0,1545.0,2070.0,1200.0,1399.0,1903.0,2143.0,7895,7111,0.9009999999999999,232.0,1,15.0,16.0,181371.0,216202.0,397573.0,1714.0,2938,58,322,6938,330.0,75,43418.0,15,9.5,7.8,321345,15922,4130,15037,21841,56930,14763,73.6
서울서부경찰서,2017,9.0,10.0,2094.0,1288.0,0.0,54.0,0.0,76.0,0.0,1.0,127.0,149.0,433.0,135.0,1.0,178.0,46.0,80.0,231.0,259.0,0.0,73.0,0.0,1325.0,10.0,739.0,1801.0,1087.0,771.0,46.0,241.0,995.0,1124.0,444.0,809.0,556.0,548.0,751.0,804.0,1000.0,7309,6147,0.841,159.0,0,3.0,3.0,100299.0,117901.0,218200.0,1372.0,1870,46,221,3546,178.0,96,21096.0,36,14.6,13.4,187131,35570,9856,33199,43112,121737,3345,73.1
서울서초경찰서,2017,16.0,3.0,5994.0,6915.0,0.0,113.0,2.0,207.0,0.0,2.0,108.0,541.0,3377.0,545.0,2.0,638.0,46.0,210.0,807.0,591.0,1.0,76.0,1.0,5014.0,28.0,1483.0,6427.0,3979.0,2954.0,67.0,505.0,4833.0,3773.0,1191.0,2991.0,2447.0,1572.0,3212.0,3129.0,3000.0,5837,6620,1.1340000000000001,242.0,2,13.0,15.0,284206.0,411461.0,695667.0,2875.0,4237,88,339,4405,0.0,115,29403.0,24,10.6,9.8,289695,9682,3940,10763,13078,37463,5621,78.55000000000003
서울성동경찰서,2017,14.0,0.0,4843.0,3127.0,1.0,116.0,0.0,239.0,1.0,1.0,217.0,291.0,1146.0,409.0,5.0,797.0,60.0,47.0,1032.0,331.0,2.0,118.0,0.0,3111.0,12.0,1198.0,3814.0,2392.0,2353.0,38.0,412.0,2782.0,2262.0,701.0,2364.0,1447.0,1181.0,1710.0,2103.0,2118.0,17056,12949,0.759,197.0,1,11.0,12.0,228269.0,393055.0,621324.0,3154.0,3241,54,320,6228,641.0,62,39067.0,17,11.3,8.5,302367,12936,4150,16981,20999,55066,12604,71.4
서울성북경찰서,2017,4.0,1.0,3255.0,1552.0,0.0,83.0,0.0,156.0,1.0,0.0,63.0,186.0,602.0,152.0,1.0,409.0,32.0,156.0,295.0,298.0,0.0,34.0,0.0,2198.0,4.0,748.0,2551.0,1506.0,1058.0,61.0,454.0,1702.0,1359.0,474.0,1065.0,917.0,801.0,894.0,1128.0,1375.0,16556,12805,0.773,183.0,1,8.0,9.0,182471.0,218169.0,400640.0,2189.0,2015,29,252,7048,418.0,36,33466.0,27,12.0,10.9,257352,25191,7588,27582,36260,96621,9006,74.05000000000003
서울송파경찰서,2017,20.0,1.0,9868.0,6319.0,1.0,234.0,0.0,625.0,0.0,1.0,239.0,392.0,2570.0,1127.0,3.0,973.0,100.0,147.0,1532.0,905.0,0.0,119.0,1.0,7337.0,26.0,2076.0,8307.0,5033.0,3968.0,181.0,1030.0,5553.0,5003.0,1543.0,3998.0,4019.0,2137.0,2736.0,3796.0,4620.0,13230,12907,0.976,318.0,3,13.0,16.0,250145.0,389082.0,639227.0,2010.0,2096,140,538,8817,815.0,241,58848.0,49,14.6,13.9,633953,22691,6369,20709,23297,73066,12233,73.65
서울수서경찰서,2017,13.0,4.0,4808.0,5328.0,2.0,121.0,0.0,108.0,0.0,0.0,77.0,392.0,2684.0,484.0,1.0,401.0,24.0,54.0,1225.0,413.0,1.0,84.0,0.0,3636.0,15.0,1047.0,5091.0,3055.0,2315.0,78.0,470.0,3375.0,3237.0,958.0,2343.0,3081.0,1038.0,1902.0,2245.0,2195.0,10580,8958,0.847,502.0,0,11.0,11.0,771016.0,794242.0,1565258.0,3118.0,3124,70,312,3031,667.0,115,20264.0,35,12.2,10.9,230349,17789,8699,25298,33903,85689,2622,77.6
서울양천경찰서,2017,13.0,1.0,5947.0,3392.0,0.0,143.0,1.0,369.0,0.0,1.0,96.0,315.0,1294.0,659.0,1.0,468.0,198.0,50.0,752.0,527.0,0.0,107.0,2.0,4437.0,17.0,1136.0,4760.0,2890.0,2313.0,124.0,733.0,2571.0,3161.0,1039.0,2335.0,1817.0,1421.0,1666.0,2286.0,2773.0,9700,8268,0.852,244.0,0,7.0,7.0,110271.0,190360.0,300631.0,1232.0,2921,95,376,7113,612.0,72,33088.0,19,8.0,8.4,452111,24995,5904,22585,27458,80942,8152,75.15
서울영등포경찰서,2017,36.0,0.0,9895.0,6973.0,3.0,183.0,2.0,147.0,0.0,0.0,112.0,464.0,2423.0,1033.0,2.0,1521.0,215.0,96.0,1206.0,632.0,1.0,197.0,2.0,7036.0,13.0,2510.0,8099.0,4926.0,4326.0,100.0,800.0,5544.0,4974.0,1574.0,4359.0,3344.0,2389.0,2893.0,3955.0,4770.0,8280,8282,1.0,239.0,1,16.0,17.0,300321.0,793273.0,1093594.0,4576.0,3775,44,513,7951,850.0,342,51151.0,19,10.5,8.8,393560,11186,3242,18072,26462,58962,54145,68.55000000000001
서울용산경찰서,2017,13.0,1.0,5727.0,4367.0,2.0,122.0,0.0,196.0,0.0,1.0,127.0,305.0,1294.0,653.0,0.0,630.0,57.0,95.0,620.0,427.0,1.0,103.0,3.0,4220.0,24.0,2124.0,5130.0,2967.0,2459.0,47.0,397.0,4170.0,2680.0,791.0,2471.0,1727.0,2405.0,1848.0,2156.0,2420.0,8873,7897,0.89,167.0,0,6.0,6.0,112190.0,150720.0,262910.0,1574.0,2051,45,343,9980,949.0,122,33076.0,16,14.2,12.8,223898,8547,2220,13967,20627,45361,17629,71.6
서울은평경찰서,2017,14.0,17.0,3454.0,2092.0,18.0,92.0,0.0,600.0,1.0,0.0,135.0,157.0,713.0,511.0,1.0,595.0,20.0,121.0,756.0,252.0,0.0,48.0,2.0,2321.0,9.0,917.0,2864.0,1933.0,1626.0,59.0,467.0,1848.0,1791.0,553.0,1705.0,1249.0,1109.0,954.0,1367.0,1744.0,8893,7659,0.861,159.0,0,3.0,3.0,100299.0,117901.0,218200.0,1372.0,1796,54,203,4502,237.0,117,28408.0,36,14.6,13.4,299663,35570,9856,33199,43112,121737,5068,71.95
서울종로경찰서,2017,18.0,14.0,3078.0,2234.0,2.0,69.0,0.0,213.0,0.0,1.0,180.0,155.0,824.0,333.0,0.0,278.0,25.0,66.0,608.0,284.0,0.0,61.0,0.0,2034.0,9.0,1132.0,3014.0,1515.0,1280.0,23.0,212.0,1897.0,1717.0,666.0,1294.0,1146.0,709.0,908.0,1486.0,1560.0,8286,8443,1.0190000000000001,234.0,1,3.0,4.0,193128.0,884537.0,1077665.0,4605.0,805,29,285,5259,46.0,150,33123.0,12,15.9,12.4,77278,5135,1361,8423,14194,29113,3191,73.0
서울종암경찰서,2017,10.0,0.0,2459.0,1673.0,3.0,90.0,0.0,109.0,0.0,1.0,73.0,178.0,457.0,317.0,3.0,239.0,30.0,137.0,376.0,264.0,0.0,44.0,0.0,1743.0,2.0,628.0,2089.0,1202.0,1127.0,44.0,230.0,1207.0,1329.0,467.0,1141.0,652.0,584.0,982.0,930.0,1270.0,14719,12550,0.853,183.0,1,8.0,9.0,182471.0,218169.0,400640.0,2189.0,1855,22,176,5751,329.0,21,22341.0,27,12.0,10.9,186703,25191,7588,27582,36260,96621,6332,72.0
서울중랑경찰서,2017,22.0,1.0,6336.0,4189.0,1.0,140.0,1.0,442.0,0.0,3.0,227.0,378.0,1035.0,877.0,1.0,394.0,100.0,48.0,748.0,608.0,0.0,109.0,1.0,5105.0,11.0,1947.0,5553.0,3335.0,2474.0,99.0,687.0,3213.0,3738.0,1138.0,2487.0,1889.0,1876.0,1921.0,2352.0,3324.0,14006,11300,0.807,196.0,2,5.0,7.0,171049.0,161317.0,332366.0,1696.0,4469,54,406,8132,1584.0,115,47543.0,31,15.3,11.9,396892,35497,7734,33946,40832,118009,8475,68.95
서울중부경찰서,2017,10.0,2.0,3850.0,2157.0,2.0,108.0,0.0,288.0,0.0,0.0,113.0,201.0,690.0,621.0,0.0,397.0,31.0,68.0,397.0,239.0,0.0,57.0,1.0,2701.0,12.0,1115.0,3093.0,1820.0,1617.0,23.0,227.0,2172.0,1844.0,636.0,1628.0,1000.0,890.0,1280.0,1643.0,1717.0,11743,11106,0.946,198.0,5,14.0,19.0,199688.0,285704.0,485392.0,2451.0,1563,14,236,4933,278.0,206,17171.0,7,11.5,6.4,104135,5355,1318,9075,14915,30663,9434,73.9
서울혜화경찰서,2017,10.0,6.0,3535.0,1526.0,2.0,96.0,0.0,80.0,0.0,0.0,67.0,120.0,616.0,342.0,1.0,451.0,26.0,37.0,356.0,213.0,0.0,144.0,1.0,1878.0,6.0,1131.0,2360.0,1331.0,1631.0,16.0,180.0,1469.0,1466.0,562.0,1629.0,853.0,545.0,937.0,1607.0,1380.0,14642,11970,0.818,234.0,1,3.0,4.0,193128.0,884537.0,1077665.0,4605.0,784,13,213,4256,24.0,143,39053.0,12,15.9,12.4,77492,5135,1361,8423,14194,29113,8717,74.75
충남세종경찰서,2017,13.0,0.0,1954.0,2585.0,1.0,59.0,3.0,124.0,0.0,1.0,78.0,231.0,949.0,252.0,1.0,289.0,42.0,66.0,463.0,625.0,0.0,39.0,0.0,1771.0,3.0,87.0,2423.0,1296.0,1099.0,72.0,250.0,1397.0,1558.0,419.0,1122.0,1235.0,441.0,825.0,1082.0,1235.0,13602,11186,0.8220000000000001,316.0,2,8.0,10.0,1687347.0,2351765.0,4039112.0,12782.0,2527,88,178,10410,39.0,66,31472.0,9,6.9,6.6,276589,9233,2033,8207,11006,30479,6761,75.15
경기수원남부경찰서,2018,43.0,0.0,10971.0,5707.0,0.0,285.0,0.0,713.0,0.0,0.0,127.0,345.0,1742.0,712.0,6.0,2514.0,90.0,115.0,1872.0,1294.0,0.0,234.0,1.0,7623.0,18.0,1280.0,7749.0,4576.0,5521.0,136.0,1081.0,5841.0,4299.0,974.0,5515.0,4683.0,3341.0,2376.0,2879.0,4567.0,11826,11491,0.972,116.0,1,8.0,9.0,615924.0,810377.0,1426301.0,16755.0,4719,148,395,3671,30.0,223,57117.0,15,8.6,8.5,499358,54994,14146,63160,82665,214965,15884,72.7
경기수원서부경찰서,2018,31.0,0.0,4900.0,4357.0,0.0,178.0,1.0,145.0,0.0,0.0,187.0,229.0,1205.0,368.0,1.0,370.0,57.0,52.0,895.0,821.0,0.0,116.0,2.0,4822.0,9.0,852.0,5048.0,2987.0,1764.0,95.0,715.0,3362.0,3034.0,782.0,1811.0,1996.0,1227.0,1496.0,2295.0,2785.0,11164,9277,0.831,135.0,0,24.0,24.0,1347730.0,1099781.0,2447511.0,24691.0,2919,102,258,3961,28.0,79,29804.0,49,18.55,16.65,299424,54994,14146,63160,82665,214965,26522,71.05000000000003
