관할서,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0_12세,vic_age_10대,vic_age_2_30대,vic_age_4_50대,vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,절도폭력_발생수,절도폭력_검거수,절도폭력_검거율,화재건수,화재_사망,화재_부상,화재_인명피해_계,화재_부동산피해_천원,화재_동산피해_천원,화재_재산피해_천원,화재_재산피해_건당천원,cctv_개수,공원_개수,배치인원_수,보안등_개수,비상벨_개수,유흥업소_개수,일인가구수,자살건수,자살_사망률_10만명당,자살_연령표준화사망률_10만명당,총_인구수,기초수급_19세이하,기초수급_20_34세,기초수급_35_59세,기초수급_60세이상,기초수급_총합,외국인수,score_절폭
서울강동경찰서,2017,4.0,0.0,2885.0,955.0,0.0,51.0,0.0,189.0,0.0,0.0,44.0,4.0,299.0,32.0,2.0,2.0,12.0,3.0,97.0,48.0,0.0,34.0,0.0,2165.0,6.0,1424.0,2518.0,1346.0,264.0,21.0,297.0,1430.0,1673.0,444.0,263.0,477.0,808.0,695.0,858.0,1290.0,1950,1462,0.75,269.0,0,12.0,12.0,188487.0,230106.0,418593.0,1556.0,2619,72,393,7505,1.0,213,41050.0,24,11.0,9.7,423978,19558,5976,23078,25727,74339,8196,79.95
서울강북경찰서,2017,7.0,0.0,1998.0,429.0,0.0,63.0,0.0,712.0,0.0,0.0,55.0,0.0,95.0,33.0,0.0,2.0,31.0,1.0,87.0,68.0,0.0,36.0,0.0,1671.0,8.0,1232.0,2032.0,1172.0,60.0,16.0,303.0,1196.0,1287.0,403.0,59.0,295.0,840.0,532.0,562.0,1035.0,1738,1475,0.8490000000000001,186.0,0,6.0,6.0,134341.0,204805.0,339146.0,1823.0,2299,41,347,8430,21.0,184,39082.0,21,12.9,10.0,313698,29508,9281,35737,43051,117577,6487,71.9
서울강서경찰서,2017,6.0,0.0,2638.0,1868.0,0.0,51.0,0.0,160.0,1.0,2.0,29.0,3.0,222.0,70.0,1.0,4.0,19.0,2.0,158.0,107.0,1.0,22.0,0.0,3178.0,12.0,956.0,2693.0,1721.0,341.0,36.0,390.0,1766.0,1725.0,496.0,342.0,369.0,969.0,795.0,1122.0,1500.0,1377,1092,0.7929999999999999,364.0,3,22.0,25.0,342521.0,364350.0,706871.0,1942.0,2377,139,500,8573,735.0,289,68237.0,40,13.2,11.8,581675,31758,14649,51392,65237,163036,12532,73.0
서울관악경찰서,2017,4.0,0.0,3340.0,1451.0,1.0,71.0,0.0,249.0,0.0,1.0,63.0,4.0,228.0,80.0,1.0,3.0,32.0,3.0,34.0,111.0,0.0,31.0,0.0,3032.0,13.0,1608.0,3106.0,1727.0,347.0,19.0,413.0,2233.0,1593.0,575.0,347.0,485.0,1256.0,861.0,1022.0,1556.0,1391,1241,0.892,286.0,3,20.0,23.0,320771.0,333919.0,654690.0,2289.0,4825,78,493,11882,814.0,272,106865.0,28,11.4,10.0,511222,21840,9395,31669,38508,101412,29335,72.2
서울광진경찰서,2017,7.0,0.0,2351.0,1612.0,1.0,34.0,0.0,64.0,0.0,1.0,94.0,1.0,200.0,43.0,0.0,2.0,97.0,0.0,124.0,55.0,0.0,11.0,0.0,2595.0,13.0,1023.0,2468.0,1324.0,372.0,26.0,426.0,1714.0,1250.0,378.0,370.0,304.0,1087.0,629.0,870.0,1274.0,1105,1061,0.96,200.0,1,6.0,7.0,230322.0,203420.0,433742.0,2169.0,6459,34,380,9132,1329.0,93,54866.0,17,9.4,9.5,363934,18260,4472,17579,18554,58865,21216,75.85
서울구로경찰서,2017,4.0,0.0,3188.0,1031.0,0.0,81.0,0.0,260.0,0.0,0.0,51.0,1.0,175.0,42.0,0.0,2.0,26.0,0.0,20.0,113.0,0.0,17.0,0.0,3150.0,28.0,1041.0,2726.0,1385.0,504.0,26.0,288.0,1546.0,1749.0,510.0,496.0,401.0,776.0,665.0,1002.0,1771.0,3398,2698,0.794,260.0,1,5.0,6.0,112488.0,348080.0,460568.0,1771.0,3659,45,395,7816,605.0,107,42984.0,20,9.7,9.0,436869,16732,4593,17586,25170,64081,49996,74.55000000000003
서울금천경찰서,2017,4.0,0.0,1991.0,912.0,0.0,31.0,0.0,100.0,0.0,0.0,37.0,2.0,120.0,34.0,0.0,3.0,40.0,2.0,22.0,54.0,0.0,48.0,0.0,1661.0,10.0,1079.0,1785.0,1018.0,272.0,18.0,176.0,1049.0,1222.0,339.0,271.0,310.0,634.0,447.0,656.0,1028.0,3318,2513,0.757,174.0,2,7.0,9.0,163006.0,442543.0,605549.0,3480.0,4226,50,274,6260,465.0,118,32928.0,17,14.9,11.9,249930,18041,5505,22825,27046,73417,30317,71.19999999999997
서울남대문경찰서,2017,2.0,0.0,1161.0,355.0,0.0,25.0,0.0,59.0,0.0,0.0,70.0,2.0,78.0,14.0,0.0,1.0,15.0,0.0,18.0,24.0,0.0,14.0,0.0,971.0,1.0,534.0,974.0,555.0,143.0,3.0,49.0,743.0,587.0,147.0,143.0,100.0,191.0,235.0,593.0,553.0,2678,2484,0.9279999999999999,198.0,5,14.0,19.0,199688.0,285704.0,485392.0,2451.0,725,16,186,1137,153.0,88,3454.0,7,11.5,6.4,77492,5355,1318,9075,14915,30663,1948,76.35
서울노원경찰서,2017,8.0,3.0,2745.0,1091.0,2.0,44.0,0.0,196.0,0.0,0.0,55.0,3.0,256.0,73.0,0.0,2.0,11.0,1.0,137.0,62.0,0.0,25.0,0.0,2738.0,3.0,833.0,2577.0,1462.0,105.0,18.0,536.0,1481.0,1495.0,508.0,106.0,490.0,799.0,624.0,912.0,1319.0,1438,1270,0.883,279.0,3,18.0,21.0,284890.0,281931.0,566821.0,2032.0,1998,167,415,4078,61.0,63,49265.0,40,14.0,11.4,543499,38389,18533,60426,71656,189004,6539,79.94999999999997
서울도봉경찰서,2017,8.0,11.0,1160.0,583.0,0.0,37.0,0.0,25.0,0.0,0.0,100.0,4.0,134.0,22.0,1.0,4.0,28.0,1.0,22.0,44.0,1.0,84.0,0.0,979.0,4.0,596.0,1114.0,649.0,161.0,14.0,153.0,567.0,792.0,237.0,161.0,286.0,360.0,248.0,397.0,633.0,1392,1101,0.7909999999999999,192.0,2,6.0,8.0,76077.0,212759.0,288836.0,1504.0,10,71,273,6337,622.0,68,29469.0,29,16.7,11.6,332586,26072,6713,23774,26428,82987,4145,76.45
서울동대문경찰서,2017,11.0,0.0,2432.0,921.0,2.0,86.0,0.0,301.0,0.0,1.0,70.0,5.0,266.0,26.0,0.0,2.0,47.0,0.0,179.0,51.0,0.0,28.0,0.0,2166.0,1.0,1053.0,2293.0,1263.0,268.0,16.0,254.0,1200.0,1503.0,579.0,272.0,334.0,691.0,602.0,933.0,1264.0,1158,978,0.845,200.0,1,2.0,3.0,475285.0,647169.0,1122454.0,5612.0,26,14,429,10730,2.0,150,54030.0,9,5.2,4.1,357380,19631,5890,25660,38161,89342,20374,76.35
서울동작경찰서,2017,5.0,3.0,1646.0,978.0,3.0,46.0,0.0,191.0,0.0,0.0,134.0,3.0,167.0,29.0,1.0,1.0,14.0,2.0,49.0,56.0,0.0,22.0,0.0,1914.0,4.0,744.0,1759.0,972.0,275.0,11.0,261.0,1106.0,979.0,374.0,275.0,256.0,552.0,488.0,697.0,1013.0,1744,1299,0.745,222.0,3,10.0,13.0,128070.0,149074.0,277144.0,1248.0,2033,53,353,8848,732.0,83,54355.0,24,11.9,9.1,400236,14196,4680,17033,24105,60014,18592,77.6
서울마포경찰서,2017,5.0,1.0,2824.0,1804.0,1.0,36.0,0.0,47.0,0.0,0.0,9.0,1.0,208.0,52.0,0.0,7.0,29.0,4.0,43.0,71.0,0.0,31.0,0.0,2919.0,32.0,1330.0,2893.0,1523.0,311.0,11.0,533.0,2443.0,1082.0,347.0,311.0,450.0,1482.0,674.0,762.0,1359.0,1741,1354,0.778,235.0,1,7.0,8.0,1051681.0,307348.0,1359029.0,5783.0,2317,82,458,7628,617.0,121,54162.0,29,15.0,12.9,368841,11417,5092,17224,23663,57396,13842,75.55
서울방배경찰서,2017,2.0,0.0,514.0,309.0,1.0,17.0,0.0,73.0,0.0,0.0,7.0,0.0,85.0,17.0,0.0,1.0,7.0,1.0,7.0,17.0,0.0,6.0,0.0,537.0,5.0,240.0,600.0,244.0,79.0,3.0,49.0,326.0,355.0,114.0,76.0,107.0,144.0,167.0,205.0,300.0,1610,1438,0.893,242.0,2,13.0,15.0,284206.0,411461.0,695667.0,2875.0,2691,25,141,3231,1.0,24,10671.0,24,10.6,9.8,151407,9682,3940,10763,13078,37463,2364,81.1
서울서대문경찰서,2017,4.0,17.0,1939.0,706.0,1.0,23.0,0.0,126.0,0.0,0.0,119.0,3.0,87.0,21.0,0.0,0.0,21.0,0.0,129.0,64.0,0.0,10.0,0.0,2002.0,7.0,591.0,1848.0,971.0,116.0,14.0,294.0,1175.0,980.0,356.0,116.0,317.0,593.0,444.0,666.0,915.0,2309,1924,0.833,232.0,1,15.0,16.0,181371.0,216202.0,397573.0,1714.0,2938,58,322,6938,330.0,75,43418.0,15,9.5,7.8,321345,15922,4130,15037,21841,56930,14763,78.05
서울서부경찰서,2017,2.0,8.0,927.0,370.0,0.0,18.0,0.0,26.0,0.0,1.0,93.0,0.0,64.0,10.0,0.0,0.0,13.0,2.0,14.0,23.0,0.0,38.0,0.0,760.0,8.0,513.0,909.0,460.0,76.0,18.0,123.0,459.0,560.0,209.0,76.0,146.0,281.0,237.0,323.0,458.0,2358,1909,0.81,159.0,0,3.0,3.0,100299.0,117901.0,218200.0,1372.0,1870,46,221,3546,178.0,96,21096.0,36,14.6,13.4,187131,35570,9856,33199,43112,121737,3345,76.3
서울서초경찰서,2017,1.0,2.0,1267.0,1890.0,0.0,23.0,1.0,125.0,0.0,0.0,13.0,2.0,279.0,19.0,0.0,1.0,26.0,1.0,49.0,46.0,1.0,13.0,0.0,2037.0,17.0,831.0,1961.0,1080.0,281.0,9.0,192.0,1658.0,929.0,255.0,279.0,330.0,721.0,543.0,794.0,934.0,2050,2049,1.0,242.0,2,13.0,15.0,284206.0,411461.0,695667.0,2875.0,4237,88,339,4405,0.0,115,29403.0,24,10.6,9.8,289695,9682,3940,10763,13078,37463,5621,83.9
서울성동경찰서,2017,7.0,0.0,1631.0,710.0,1.0,41.0,0.0,177.0,0.0,0.0,68.0,1.0,128.0,43.0,1.0,1.0,21.0,3.0,9.0,27.0,0.0,22.0,0.0,1535.0,5.0,839.0,1564.0,761.0,310.0,10.0,181.0,974.0,912.0,249.0,309.0,221.0,514.0,383.0,607.0,910.0,4245,2731,0.643,197.0,1,11.0,12.0,228269.0,393055.0,621324.0,3154.0,3241,54,320,6228,641.0,62,39067.0,17,11.3,8.5,302367,12936,4150,16981,20999,55066,12604,75.1
서울성북경찰서,2017,1.0,1.0,1069.0,483.0,0.0,23.0,0.0,82.0,0.0,0.0,17.0,2.0,74.0,11.0,0.0,3.0,26.0,2.0,10.0,32.0,0.0,6.0,0.0,1018.0,2.0,490.0,1089.0,535.0,52.0,4.0,186.0,691.0,559.0,184.0,52.0,142.0,337.0,272.0,374.0,551.0,4141,2722,0.657,183.0,1,8.0,9.0,182471.0,218169.0,400640.0,2189.0,2015,29,252,7048,418.0,36,33466.0,27,12.0,10.9,257352,25191,7588,27582,36260,96621,9006,78.35
서울송파경찰서,2017,5.0,0.0,3610.0,1349.0,0.0,38.0,0.0,199.0,0.0,0.0,64.0,3.0,419.0,99.0,0.0,6.0,23.0,4.0,101.0,92.0,0.0,16.0,0.0,3179.0,19.0,1304.0,3084.0,1730.0,451.0,35.0,378.0,2047.0,1870.0,495.0,440.0,658.0,849.0,846.0,1291.0,1621.0,3574,2759,0.772,318.0,3,13.0,16.0,250145.0,389082.0,639227.0,2010.0,2096,140,538,8817,815.0,241,58848.0,49,14.6,13.9,633953,22691,6369,20709,23297,73066,12233,77.7
서울수서경찰서,2017,4.0,3.0,1395.0,1347.0,0.0,33.0,0.0,38.0,0.0,0.0,11.0,5.0,329.0,12.0,0.0,1.0,10.0,1.0,142.0,51.0,0.0,29.0,0.0,1593.0,10.0,648.0,1728.0,879.0,224.0,19.0,194.0,1134.0,981.0,280.0,223.0,368.0,470.0,535.0,688.0,770.0,4128,3063,0.742,502.0,0,11.0,11.0,771016.0,794242.0,1565258.0,3118.0,3124,70,312,3031,667.0,115,20264.0,35,12.2,10.9,230349,17789,8699,25298,33903,85689,2622,81.6
서울양천경찰서,2017,1.0,1.0,2599.0,849.0,0.0,53.0,1.0,247.0,0.0,0.0,50.0,1.0,132.0,22.0,0.0,1.0,149.0,1.0,109.0,79.0,0.0,29.0,0.0,2545.0,13.0,720.0,2221.0,1253.0,327.0,42.0,422.0,1101.0,1485.0,429.0,322.0,309.0,713.0,573.0,903.0,1303.0,3718,2636,0.7090000000000001,244.0,0,7.0,7.0,110271.0,190360.0,300631.0,1232.0,2921,95,376,7113,612.0,72,33088.0,19,8.0,8.4,452111,24995,5904,22585,27458,80942,8152,77.30000000000003
서울영등포경찰서,2017,18.0,0.0,3565.0,1728.0,2.0,52.0,1.0,82.0,0.0,0.0,55.0,1.0,327.0,66.0,1.0,9.0,33.0,1.0,49.0,98.0,1.0,33.0,0.0,3511.0,4.0,1369.0,3410.0,1696.0,397.0,23.0,320.0,2037.0,2087.0,640.0,396.0,496.0,1009.0,817.0,1330.0,1851.0,3362,2779,0.8270000000000001,239.0,1,16.0,17.0,300321.0,793273.0,1093594.0,4576.0,3775,44,513,7951,850.0,342,51151.0,19,10.5,8.8,393560,11186,3242,18072,26462,58962,54145,71.44999999999997
서울용산경찰서,2017,2.0,0.0,2243.0,1354.0,2.0,42.0,0.0,106.0,0.0,0.0,62.0,3.0,223.0,59.0,0.0,2.0,37.0,3.0,34.0,50.0,0.0,27.0,0.0,2013.0,15.0,1345.0,2401.0,1063.0,347.0,10.0,166.0,1871.0,1112.0,304.0,348.0,328.0,1253.0,678.0,595.0,957.0,3264,2666,0.8170000000000001,167.0,0,6.0,6.0,112190.0,150720.0,262910.0,1574.0,2051,45,343,9980,949.0,122,33076.0,16,14.2,12.8,223898,8547,2220,13967,20627,45361,17629,77.05
서울은평경찰서,2017,3.0,8.0,1308.0,553.0,5.0,41.0,0.0,250.0,1.0,0.0,48.0,1.0,128.0,27.0,1.0,0.0,16.0,0.0,30.0,53.0,0.0,13.0,0.0,1394.0,5.0,549.0,1237.0,811.0,169.0,16.0,209.0,779.0,816.0,229.0,168.0,197.0,469.0,297.0,516.0,738.0,3198,2591,0.81,159.0,0,3.0,3.0,100299.0,117901.0,218200.0,1372.0,1796,54,203,4502,237.0,117,28408.0,36,14.6,13.4,299663,35570,9856,33199,43112,121737,5068,77.45
서울종로경찰서,2017,9.0,8.0,1323.0,650.0,0.0,21.0,0.0,72.0,0.0,0.0,105.0,6.0,119.0,19.0,0.0,3.0,19.0,2.0,48.0,48.0,0.0,11.0,0.0,1217.0,8.0,688.0,1444.0,596.0,148.0,6.0,93.0,865.0,784.0,290.0,150.0,226.0,376.0,319.0,557.0,710.0,3353,2869,0.856,234.0,1,3.0,4.0,193128.0,884537.0,1077665.0,4605.0,805,29,285,5259,46.0,150,33123.0,12,15.9,12.4,77278,5135,1361,8423,14194,29113,3191,79.05
서울종암경찰서,2017,4.0,0.0,874.0,527.0,0.0,27.0,0.0,49.0,0.0,0.0,20.0,2.0,53.0,11.0,0.0,1.0,11.0,1.0,20.0,38.0,0.0,5.0,0.0,941.0,2.0,416.0,908.0,474.0,119.0,12.0,102.0,449.0,631.0,188.0,119.0,124.0,294.0,248.0,352.0,483.0,4755,3660,0.77,183.0,1,8.0,9.0,182471.0,218169.0,400640.0,2189.0,1855,22,176,5751,329.0,21,22341.0,27,12.0,10.9,186703,25191,7588,27582,36260,96621,6332,74.7
서울중랑경찰서,2017,6.0,0.0,2481.0,1536.0,0.0,48.0,1.0,268.0,0.0,2.0,127.0,2.0,203.0,22.0,0.0,2.0,55.0,2.0,111.0,158.0,0.0,33.0,0.0,2729.0,6.0,1146.0,2676.0,1488.0,305.0,26.0,336.0,1419.0,1832.0,545.0,311.0,431.0,904.0,718.0,898.0,1518.0,4412,3216,0.7290000000000001,196.0,2,5.0,7.0,171049.0,161317.0,332366.0,1696.0,4469,54,406,8132,1584.0,115,47543.0,31,15.3,11.9,396892,35497,7734,33946,40832,118009,8475,71.94999999999997
서울중부경찰서,2017,5.0,1.0,1576.0,503.0,1.0,49.0,0.0,169.0,0.0,0.0,49.0,4.0,95.0,31.0,0.0,1.0,24.0,1.0,6.0,48.0,0.0,13.0,0.0,1485.0,9.0,636.0,1459.0,751.0,143.0,7.0,88.0,990.0,859.0,266.0,143.0,182.0,462.0,440.0,537.0,732.0,4114,3266,0.794,198.0,5,14.0,19.0,199688.0,285704.0,485392.0,2451.0,1563,14,236,4933,278.0,206,17171.0,7,11.5,6.4,104135,5355,1318,9075,14915,30663,9434,76.85
서울혜화경찰서,2017,1.0,0.0,1376.0,219.0,1.0,38.0,0.0,49.0,0.0,0.0,17.0,3.0,101.0,16.0,0.0,5.0,16.0,1.0,8.0,38.0,0.0,14.0,0.0,1016.0,2.0,481.0,1099.0,497.0,105.0,5.0,78.0,591.0,673.0,251.0,103.0,137.0,244.0,261.0,509.0,550.0,5180,3818,0.737,234.0,1,3.0,4.0,193128.0,884537.0,1077665.0,4605.0,784,13,213,4256,24.0,143,39053.0,12,15.9,12.4,77492,5135,1361,8423,14194,29113,8717,78.3
충남세종경찰서,2017,1.0,0.0,535.0,711.0,0.0,7.0,0.0,60.0,0.0,0.0,3.0,2.0,153.0,10.0,0.0,1.0,29.0,3.0,24.0,105.0,0.0,14.0,0.0,941.0,2.0,33.0,803.0,448.0,66.0,11.0,108.0,430.0,560.0,140.0,68.0,164.0,166.0,236.0,333.0,418.0,4628,3329,0.7190000000000001,316.0,2,8.0,10.0,1687347.0,2351765.0,4039112.0,12782.0,2527,88,178,10410,39.0,66,31472.0,9,6.9,6.6,276589,9233,2033,8207,11006,30479,6761,80.15
경기수원남부경찰서,2018,11.0,0.0,3874.0,1157.0,0.0,69.0,0.0,493.0,0.0,0.0,66.0,2.0,238.0,47.0,0.0,1.0,77.0,2.0,49.0,208.0,0.0,137.0,0.0,4260.0,14.0,635.0,3490.0,1807.0,373.0,31.0,548.0,2585.0,1772.0,373.0,361.0,577.0,1380.0,875.0,1082.0,1756.0,4371,3452,0.79,116.0,1,8.0,9.0,615924.0,810377.0,1426301.0,16755.0,4719,148,395,3671,30.0,223,57117.0,15,8.6,8.5,499358,54994,14146,63160,82665,214965,15884,77.35
경기수원서부경찰서,2018,7.0,0.0,1943.0,1320.0,0.0,60.0,0.0,74.0,0.0,0.0,94.0,1.0,89.0,38.0,0.0,1.0,47.0,4.0,17.0,166.0,0.0,50.0,0.0,2708.0,6.0,371.0,2099.0,1193.0,206.0,18.0,306.0,1362.0,1282.0,326.0,204.0,336.0,651.0,499.0,872.0,1140.0,4164,3070,0.737,135.0,0,24.0,24.0,1347730.0,1099781.0,2447511.0,24691.0,2919,102,258,3961,28.0,79,29804.0,49,18.55,16.65,299424,54994,14146,63160,82665,214965,26522,72.9
경기수원중부경찰서,2018,4.0,2.0,2869.0,1203.0,0.0,60.0,0.0,128.0,0.0,0.0,32.0,2.0,161.0,26.0,0.0,2.0,42.0,1.0,41.0,203.0,0.0,28.0,0.0,3112.0,7.0,673.0,2496.0,1476.0,326.0,26.0,343.0,1294.0,1778.0,544.0,313.0,437.0,703.0,631.0,1057.0,1470.0,3777,2609,0.691,119.0,0,10.0,10.0,516852.0,543848.0,1060700.0,12500.0,4447,96,333,6736,21.0,157,42710.0,23,16.1,12.9,402384,54994,14146,63160,82665,214965,21525,73.7
경남마산동부경찰서,2018,0.0,22.0,1178.0,683.0,0.0,19.0,0.0,44.0,0.0,0.0,4.0,2.0,147.0,19.0,0.0,0.0,54.0,1.0,18.0,72.0,0.0,15.0,0.0,1458.0,3.0,161.0,1161.0,645.0,144.0,8.0,122.0,554.0,807.0,320.0,139.0,236.0,402.0,290.0,414.0,608.0,3206,2588,0.807,76.0,2,4.0,6.0,148990.0,109214.0,258204.0,3397.0,1218,65,185,5647,11.0,337,20069.0,15,15.1,13.4,197683,76386,17619,86290,108663,288958,4234,74.2
