관할서,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0_12세,vic_age_10대,vic_age_2_30대,vic_age_4_50대,vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,법질서_발생수,법질서_검거수,법질서_검거율,화재건수,화재_사망,화재_부상,화재_인명피해_계,화재_부동산피해_천원,화재_동산피해_천원,화재_재산피해_천원,화재_재산피해_건당천원,cctv_개수,공원_개수,배치인원_수,보안등_개수,비상벨_개수,유흥업소_개수,일인가구수,자살건수,자살_사망률_10만명당,자살_연령표준화사망률_10만명당,총_인구수,기초수급_19세이하,기초수급_20_34세,기초수급_35_59세,기초수급_60세이상,기초수급_총합,외국인수,score_법질서
서울강동경찰서,2017,5.0,0.0,2626.0,2449.0,0.0,83.0,0.0,81.0,0.0,1.0,95.0,283.0,1153.0,437.0,2.0,63.0,16.0,59.0,872.0,281.0,1.0,61.0,0.0,1530.0,7.0,575.0,2482.0,1547.0,1311.0,58.0,227.0,1478.0,1682.0,558.0,1337.0,1855.0,473.0,839.0,1077.0,1096.0,2168,1985,0.9159999999999999,269.0,0,12.0,12.0,188487.0,230106.0,418593.0,1556.0,2619,72,393,7505,1.0,213,41050.0,24,11.0,9.7,423978,19558,5976,23078,25727,74339,8196,68.1
서울강북경찰서,2017,7.0,0.0,1902.0,2137.0,0.0,61.0,0.0,283.0,0.0,1.0,105.0,236.0,853.0,334.0,1.0,43.0,5.0,169.0,669.0,329.0,0.0,65.0,0.0,1133.0,1.0,658.0,2212.0,1270.0,1014.0,52.0,230.0,1401.0,1337.0,450.0,1026.0,1199.0,530.0,729.0,984.0,1054.0,1650,2242,1.359,186.0,0,6.0,6.0,134341.0,204805.0,339146.0,1823.0,2299,41,347,8430,21.0,184,39082.0,21,12.9,10.0,313698,29508,9281,35737,43051,117577,6487,62.75
서울강서경찰서,2017,7.0,8.0,2751.0,3818.0,1.0,57.0,2.0,108.0,0.0,2.0,34.0,539.0,1451.0,983.0,0.0,42.0,35.0,42.0,1124.0,369.0,0.0,112.0,3.0,1289.0,10.0,789.0,2995.0,1850.0,1943.0,58.0,264.0,2090.0,1837.0,568.0,1971.0,1872.0,635.0,1342.0,1499.0,1440.0,2048,1888,0.922,364.0,3,22.0,25.0,342521.0,364350.0,706871.0,1942.0,2377,139,500,8573,735.0,289,68237.0,40,13.2,11.8,581675,31758,14649,51392,65237,163036,12532,63.05
서울관악경찰서,2017,2.0,0.0,3074.0,3891.0,0.0,41.0,0.0,132.0,0.0,0.0,42.0,455.0,1421.0,648.0,1.0,393.0,23.0,95.0,1045.0,546.0,1.0,78.0,1.0,1604.0,10.0,861.0,2959.0,2026.0,2197.0,202.0,302.0,2254.0,1530.0,673.0,2221.0,2121.0,818.0,1170.0,1497.0,1576.0,1635,1399,0.856,286.0,3,20.0,23.0,320771.0,333919.0,654690.0,2289.0,4825,78,493,11882,814.0,272,106865.0,28,11.4,10.0,511222,21840,9395,31669,38508,101412,29335,58.95
서울광진경찰서,2017,3.0,1.0,2086.0,2830.0,0.0,46.0,0.0,83.0,0.0,0.0,39.0,429.0,1064.0,408.0,2.0,97.0,108.0,53.0,754.0,284.0,0.0,70.0,1.0,1242.0,29.0,547.0,2179.0,1409.0,1500.0,46.0,243.0,1619.0,1174.0,448.0,1558.0,1519.0,472.0,934.0,1009.0,1154.0,1054,1650,1.565,200.0,1,6.0,7.0,230322.0,203420.0,433742.0,2169.0,6459,34,380,9132,1329.0,93,54866.0,17,9.4,9.5,363934,18260,4472,17579,18554,58865,21216,65.6
서울구로경찰서,2017,13.0,1.0,3241.0,2874.0,0.0,81.0,1.0,82.0,0.0,1.0,49.0,324.0,1531.0,644.0,5.0,55.0,31.0,33.0,889.0,408.0,1.0,140.0,1.0,1617.0,6.0,658.0,2956.0,1750.0,1637.0,52.0,236.0,1946.0,1825.0,614.0,1670.0,2164.0,466.0,940.0,1410.0,1363.0,3739,3731,0.998,260.0,1,5.0,6.0,112488.0,348080.0,460568.0,1771.0,3659,45,395,7816,605.0,107,42984.0,20,9.7,9.0,436869,16732,4593,17586,25170,64081,49996,65.4
서울금천경찰서,2017,2.0,0.0,1702.0,3199.0,1.0,25.0,0.0,60.0,0.0,1.0,15.0,346.0,1687.0,420.0,0.0,77.0,47.0,42.0,732.0,235.0,0.0,70.0,0.0,833.0,3.0,513.0,2000.0,1179.0,1826.0,28.0,148.0,1284.0,1348.0,341.0,1856.0,1267.0,410.0,819.0,1153.0,1356.0,3434,2922,0.851,174.0,2,7.0,9.0,163006.0,442543.0,605549.0,3480.0,4226,50,274,6260,465.0,118,32928.0,17,14.9,11.9,249930,18041,5505,22825,27046,73417,30317,62.45
서울남대문경찰서,2017,4.0,2.0,1370.0,1380.0,1.0,32.0,1.0,8.0,0.0,0.0,30.0,201.0,669.0,234.0,0.0,27.0,10.0,97.0,615.0,75.0,0.0,30.0,2.0,630.0,0.0,238.0,1308.0,736.0,784.0,7.0,76.0,890.0,818.0,238.0,799.0,909.0,94.0,550.0,819.0,456.0,2553,3258,1.276,198.0,5,14.0,19.0,199688.0,285704.0,485392.0,2451.0,725,16,186,1137,153.0,88,3454.0,7,11.5,6.4,77492,5355,1318,9075,14915,30663,1948,60.15
서울노원경찰서,2017,7.0,8.0,2445.0,3087.0,2.0,94.0,1.0,89.0,0.0,2.0,43.0,413.0,1146.0,552.0,2.0,48.0,11.0,39.0,1089.0,518.0,0.0,238.0,0.0,1404.0,3.0,315.0,2572.0,1715.0,1491.0,69.0,438.0,1672.0,1545.0,548.0,1506.0,2259.0,430.0,885.0,1119.0,1085.0,2014,1977,0.982,279.0,3,18.0,21.0,284890.0,281931.0,566821.0,2032.0,1998,167,415,4078,61.0,63,49265.0,40,14.0,11.4,543499,38389,18533,60426,71656,189004,6539,71.5
서울도봉경찰서,2017,4.0,6.0,1515.0,1786.0,0.0,37.0,1.0,36.0,0.0,0.0,98.0,270.0,857.0,402.0,0.0,20.0,23.0,116.0,536.0,264.0,1.0,86.0,0.0,671.0,3.0,234.0,1546.0,1056.0,881.0,48.0,189.0,863.0,1062.0,437.0,884.0,1214.0,241.0,581.0,791.0,656.0,1594,1430,0.897,192.0,2,6.0,8.0,76077.0,212759.0,288836.0,1504.0,10,71,273,6337,622.0,68,29469.0,29,16.7,11.6,332586,26072,6713,23774,26428,82987,4145,65.4
서울동대문경찰서,2017,5.0,2.0,2464.0,2793.0,1.0,77.0,0.0,132.0,1.0,1.0,109.0,385.0,1318.0,754.0,1.0,138.0,20.0,28.0,975.0,302.0,0.0,115.0,1.0,1007.0,4.0,537.0,2665.0,1468.0,1452.0,31.0,261.0,1534.0,1611.0,679.0,1469.0,1676.0,410.0,1018.0,1288.0,1193.0,1062,1436,1.3519999999999999,200.0,1,2.0,3.0,475285.0,647169.0,1122454.0,5612.0,26,14,429,10730,2.0,150,54030.0,9,5.2,4.1,357380,19631,5890,25660,38161,89342,20374,67.3
서울동작경찰서,2017,12.0,7.0,2045.0,2219.0,0.0,69.0,0.0,95.0,0.0,1.0,77.0,320.0,883.0,330.0,0.0,25.0,17.0,93.0,659.0,225.0,0.0,44.0,4.0,1582.0,1.0,342.0,2080.0,1518.0,927.0,53.0,244.0,1561.0,1269.0,469.0,929.0,1182.0,378.0,806.0,1093.0,1066.0,2734,2470,0.903,222.0,3,10.0,13.0,128070.0,149074.0,277144.0,1248.0,2033,53,353,8848,732.0,83,54355.0,24,11.9,9.1,400236,14196,4680,17033,24105,60014,18592,63.55
서울마포경찰서,2017,11.0,0.0,2962.0,4235.0,2.0,65.0,0.0,72.0,0.0,1.0,17.0,413.0,1596.0,724.0,2.0,207.0,70.0,93.0,852.0,419.0,0.0,92.0,0.0,2168.0,7.0,722.0,3322.0,2075.0,1968.0,48.0,348.0,2618.0,1797.0,528.0,2026.0,1855.0,855.0,1295.0,1692.0,1668.0,2221,1862,0.838,235.0,1,7.0,8.0,1051681.0,307348.0,1359029.0,5783.0,2317,82,458,7628,617.0,121,54162.0,29,15.0,12.9,368841,11417,5092,17224,23663,57396,13842,65.9
서울방배경찰서,2017,2.0,0.0,977.0,1079.0,0.0,30.0,0.0,31.0,0.0,1.0,14.0,92.0,567.0,181.0,2.0,105.0,2.0,30.0,325.0,81.0,0.0,13.0,1.0,640.0,1.0,94.0,945.0,653.0,536.0,25.0,96.0,667.0,589.0,218.0,539.0,561.0,154.0,433.0,555.0,431.0,1591,2248,1.413,242.0,2,13.0,15.0,284206.0,411461.0,695667.0,2875.0,2691,25,141,3231,1.0,24,10671.0,24,10.6,9.8,151407,9682,3940,10763,13078,37463,2364,73.85
서울서대문경찰서,2017,3.0,3.0,1850.0,2886.0,1.0,42.0,1.0,53.0,0.0,2.0,89.0,249.0,844.0,282.0,1.0,46.0,3.0,101.0,1354.0,196.0,0.0,65.0,1.0,1432.0,4.0,352.0,2301.0,1600.0,1029.0,40.0,321.0,1897.0,1180.0,461.0,1031.0,1639.0,400.0,808.0,1109.0,974.0,3545,3163,0.892,232.0,1,15.0,16.0,181371.0,216202.0,397573.0,1714.0,2938,58,322,6938,330.0,75,43418.0,15,9.5,7.8,321345,15922,4130,15037,21841,56930,14763,67.55
서울서부경찰서,2017,3.0,2.0,738.0,887.0,0.0,19.0,0.0,25.0,0.0,0.0,29.0,148.0,358.0,109.0,0.0,19.0,33.0,64.0,215.0,130.0,0.0,35.0,0.0,396.0,2.0,194.0,758.0,495.0,450.0,20.0,83.0,441.0,475.0,200.0,484.0,375.0,158.0,432.0,387.0,351.0,3289,2576,0.7829999999999999,159.0,0,3.0,3.0,100299.0,117901.0,218200.0,1372.0,1870,46,221,3546,178.0,96,21096.0,36,14.6,13.4,187131,35570,9856,33199,43112,121737,3345,66.6
서울서초경찰서,2017,4.0,1.0,2943.0,4834.0,0.0,60.0,1.0,45.0,0.0,2.0,60.0,521.0,3030.0,417.0,0.0,81.0,17.0,164.0,751.0,288.0,0.0,59.0,1.0,2154.0,11.0,456.0,3921.0,2281.0,1748.0,47.0,241.0,2508.0,2521.0,847.0,1786.0,1968.0,477.0,2224.0,1946.0,1335.0,2537,3154,1.2429999999999999,242.0,2,13.0,15.0,284206.0,411461.0,695667.0,2875.0,4237,88,339,4405,0.0,115,29403.0,24,10.6,9.8,289695,9682,3940,10763,13078,37463,5621,74.15
서울성동경찰서,2017,3.0,0.0,1957.0,2376.0,0.0,57.0,0.0,53.0,0.0,1.0,110.0,287.0,999.0,281.0,4.0,112.0,39.0,40.0,1020.0,184.0,2.0,85.0,0.0,1177.0,7.0,320.0,1965.0,1437.0,1155.0,23.0,191.0,1595.0,1189.0,393.0,1166.0,1063.0,318.0,1073.0,1243.0,860.0,9766,7430,0.7609999999999999,197.0,1,11.0,12.0,228269.0,393055.0,621324.0,3154.0,3241,54,320,6228,641.0,62,39067.0,17,11.3,8.5,302367,12936,4150,16981,20999,55066,12604,65.0
서울성북경찰서,2017,2.0,0.0,1476.0,1022.0,0.0,46.0,0.0,50.0,0.0,0.0,28.0,181.0,503.0,113.0,1.0,24.0,5.0,142.0,277.0,179.0,0.0,23.0,0.0,970.0,2.0,204.0,1313.0,817.0,494.0,45.0,216.0,888.0,712.0,263.0,500.0,681.0,210.0,491.0,633.0,609.0,8283,5897,0.7120000000000001,183.0,1,8.0,9.0,182471.0,218169.0,400640.0,2189.0,2015,29,252,7048,418.0,36,33466.0,27,12.0,10.9,257352,25191,7588,27582,36260,96621,9006,67.0
서울송파경찰서,2017,11.0,1.0,4756.0,4548.0,0.0,147.0,0.0,170.0,0.0,1.0,138.0,383.0,2067.0,824.0,2.0,97.0,77.0,114.0,1415.0,523.0,0.0,100.0,1.0,3474.0,7.0,688.0,4694.0,2863.0,2215.0,114.0,561.0,3075.0,2821.0,947.0,2254.0,3156.0,795.0,1534.0,2169.0,2118.0,5859,6180,1.055,318.0,3,13.0,16.0,250145.0,389082.0,639227.0,2010.0,2096,140,538,8817,815.0,241,58848.0,49,14.6,13.9,633953,22691,6369,20709,23297,73066,12233,66.19999999999999
서울수서경찰서,2017,3.0,1.0,2290.0,3842.0,2.0,62.0,0.0,47.0,0.0,0.0,33.0,384.0,2299.0,395.0,1.0,54.0,14.0,34.0,1076.0,211.0,1.0,47.0,0.0,1421.0,5.0,338.0,2922.0,1835.0,1523.0,42.0,229.0,1895.0,1964.0,599.0,1551.0,2593.0,316.0,1126.0,1262.0,983.0,5340,4848,0.9079999999999999,502.0,0,11.0,11.0,771016.0,794242.0,1565258.0,3118.0,3124,70,312,3031,667.0,115,20264.0,35,12.2,10.9,230349,17789,8699,25298,33903,85689,2622,74.45
서울양천경찰서,2017,4.0,0.0,2271.0,2270.0,0.0,64.0,0.0,117.0,0.0,1.0,34.0,310.0,1128.0,393.0,1.0,45.0,47.0,36.0,632.0,301.0,0.0,77.0,2.0,1395.0,4.0,390.0,2171.0,1369.0,1221.0,62.0,250.0,1234.0,1441.0,528.0,1246.0,1334.0,381.0,879.0,1142.0,1025.0,3957,3612,0.9129999999999999,244.0,0,7.0,7.0,110271.0,190360.0,300631.0,1232.0,2921,95,376,7113,612.0,72,33088.0,19,8.0,8.4,452111,24995,5904,22585,27458,80942,8152,69.1
서울영등포경찰서,2017,10.0,0.0,3949.0,4703.0,1.0,94.0,1.0,49.0,0.0,0.0,40.0,452.0,2048.0,599.0,1.0,333.0,181.0,45.0,1155.0,307.0,0.0,160.0,2.0,2638.0,9.0,917.0,3883.0,2551.0,2413.0,56.0,380.0,2782.0,2398.0,784.0,2447.0,2592.0,657.0,1563.0,2079.0,1956.0,3014,3525,1.17,239.0,1,16.0,17.0,300321.0,793273.0,1093594.0,4576.0,3775,44,513,7951,850.0,342,51151.0,19,10.5,8.8,393560,11186,3242,18072,26462,58962,54145,62.3
서울용산경찰서,2017,4.0,1.0,1987.0,2679.0,0.0,44.0,0.0,37.0,0.0,0.0,41.0,294.0,1008.0,469.0,0.0,53.0,20.0,69.0,576.0,183.0,0.0,71.0,3.0,1466.0,9.0,572.0,2110.0,1400.0,1283.0,28.0,153.0,1721.0,1216.0,382.0,1293.0,1197.0,611.0,846.0,1238.0,901.0,4496,4154,0.924,167.0,0,6.0,6.0,112190.0,150720.0,262910.0,1574.0,2051,45,343,9980,949.0,122,33076.0,16,14.2,12.8,223898,8547,2220,13967,20627,45361,17629,66.7
서울은평경찰서,2017,8.0,1.0,1316.0,1495.0,6.0,30.0,0.0,132.0,0.0,0.0,36.0,156.0,558.0,302.0,0.0,46.0,4.0,103.0,724.0,133.0,0.0,34.0,2.0,653.0,4.0,305.0,1371.0,900.0,753.0,34.0,207.0,915.0,840.0,274.0,754.0,893.0,266.0,535.0,680.0,650.0,3893,3279,0.8420000000000001,159.0,0,3.0,3.0,100299.0,117901.0,218200.0,1372.0,1796,54,203,4502,237.0,117,28408.0,36,14.6,13.4,299663,35570,9856,33199,43112,121737,5068,67.5
서울종로경찰서,2017,3.0,6.0,1334.0,1536.0,2.0,30.0,0.0,97.0,0.0,1.0,62.0,144.0,672.0,284.0,0.0,81.0,6.0,53.0,558.0,173.0,0.0,49.0,0.0,661.0,1.0,389.0,1435.0,789.0,847.0,14.0,101.0,892.0,854.0,351.0,859.0,867.0,229.0,503.0,821.0,651.0,3284,3803,1.158,234.0,1,3.0,4.0,193128.0,884537.0,1077665.0,4605.0,805,29,285,5259,46.0,150,33123.0,12,15.9,12.4,77278,5135,1361,8423,14194,29113,3191,62.8
서울종암경찰서,2017,1.0,0.0,1003.0,1082.0,3.0,39.0,0.0,30.0,0.0,1.0,30.0,174.0,393.0,160.0,3.0,11.0,19.0,110.0,352.0,145.0,0.0,38.0,0.0,602.0,0.0,182.0,1017.0,607.0,565.0,25.0,105.0,645.0,596.0,240.0,578.0,472.0,166.0,619.0,477.0,455.0,6788,5891,0.868,183.0,1,8.0,9.0,182471.0,218169.0,400640.0,2189.0,1855,22,176,5751,329.0,21,22341.0,27,12.0,10.9,186703,25191,7588,27582,36260,96621,6332,64.85
서울중랑경찰서,2017,9.0,1.0,2784.0,2560.0,0.0,60.0,0.0,126.0,0.0,1.0,72.0,370.0,804.0,466.0,1.0,119.0,45.0,40.0,634.0,343.0,0.0,73.0,1.0,1970.0,5.0,742.0,2608.0,1579.0,1426.0,60.0,296.0,1575.0,1713.0,537.0,1432.0,1365.0,602.0,1024.0,1253.0,1369.0,6395,4777,0.747,196.0,2,5.0,7.0,171049.0,161317.0,332366.0,1696.0,4469,54,406,8132,1584.0,115,47543.0,31,15.3,11.9,396892,35497,7734,33946,40832,118009,8475,61.55
서울중부경찰서,2017,2.0,1.0,1534.0,1597.0,1.0,43.0,0.0,89.0,0.0,0.0,28.0,196.0,580.0,486.0,0.0,79.0,7.0,59.0,391.0,139.0,0.0,37.0,1.0,975.0,3.0,342.0,1452.0,857.0,986.0,11.0,93.0,987.0,872.0,336.0,996.0,755.0,294.0,608.0,896.0,742.0,5064,5140,1.015,198.0,5,14.0,19.0,199688.0,285704.0,485392.0,2451.0,1563,14,236,4933,278.0,206,17171.0,7,11.5,6.4,104135,5355,1318,9075,14915,30663,9434,67.15
서울혜화경찰서,2017,8.0,2.0,1277.0,1281.0,1.0,28.0,0.0,21.0,0.0,0.0,15.0,117.0,499.0,225.0,1.0,117.0,10.0,31.0,346.0,134.0,0.0,128.0,0.0,715.0,4.0,306.0,1167.0,685.0,781.0,8.0,79.0,756.0,727.0,282.0,781.0,670.0,186.0,479.0,793.0,505.0,7182,6054,0.843,234.0,1,3.0,4.0,193128.0,884537.0,1077665.0,4605.0,784,13,213,4256,24.0,143,39053.0,12,15.9,12.4,77492,5135,1361,8423,14194,29113,8717,65.1
충남세종경찰서,2017,5.0,0.0,755.0,1721.0,1.0,27.0,1.0,28.0,0.0,1.0,40.0,226.0,763.0,140.0,1.0,16.0,12.0,52.0,437.0,272.0,0.0,22.0,0.0,588.0,1.0,49.0,1348.0,697.0,534.0,48.0,108.0,799.0,839.0,234.0,551.0,990.0,109.0,453.0,571.0,456.0,6354,5173,0.8140000000000001,316.0,2,8.0,10.0,1687347.0,2351765.0,4039112.0,12782.0,2527,88,178,10410,39.0,66,31472.0,9,6.9,6.6,276589,9233,2033,8207,11006,30479,6761,69.55000000000001
경기수원남부경찰서,2018,3.0,0.0,2489.0,4123.0,0.0,34.0,0.0,171.0,0.0,0.0,20.0,339.0,1428.0,456.0,6.0,188.0,13.0,16.0,1819.0,453.0,0.0,89.0,1.0,1442.0,4.0,586.0,2963.0,1852.0,2025.0,44.0,368.0,2259.0,1765.0,374.0,2030.0,3096.0,627.0,816.0,1078.0,1223.0,5035,5475,1.087,116.0,1,8.0,9.0,615924.0,810377.0,1426301.0,16755.0,4719,148,395,3671,30.0,223,57117.0,15,8.6,8.5,499358,54994,14146,63160,82665,214965,15884,69.5
경기수원서부경찰서,2018,4.0,0.0,1151.0,2885.0,0.0,26.0,0.0,19.0,0.0,0.0,24.0,227.0,1083.0,222.0,1.0,80.0,10.0,6.0,877.0,230.0,0.0,51.0,2.0,872.0,3.0,445.0,1922.0,1219.0,968.0,36.0,271.0,1386.0,1179.0,224.0,1013.0,1535.0,278.0,557.0,902.0,837.0,5088,4439,0.872,135.0,0,24.0,24.0,1347730.0,1099781.0,2447511.0,24691.0,2919,102,258,3961,28.0,79,29804.0,49,18.55,16.65,299424,54994,14146,63160,82665,214965,26522,67.3
경기수원중부경찰서,2018,2.0,0.0,1835.0,3142.0,1.0,25.0,0.0,64.0,0.0,0.0,12.0,255.0,927.0,204.0,3.0,261.0,20.0,7.0,1396.0,342.0,1.0,118.0,0.0,983.0,0.0,564.0,2118.0,1506.0,1457.0,39.0,337.0,1454.0,1435.0,340.0,1476.0,2072.0,381.0,644.0,971.0,1013.0,4330,3628,0.838,119.0,0,10.0,10.0,516852.0,543848.0,1060700.0,12500.0,4447,96,333,6736,21.0,157,42710.0,23,16.1,12.9,402384,54994,14146,63160,82665,214965,21525,68.55
