,jur_stn,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0~12세,vic_age_10대,"vic_age_2,30대","vic_age_4,50대",vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,score_절폭
13,서울관악경찰서,2017,4.0,0.0,3340.0,1451.0,1.0,71.0,0.0,249.0,0.0,1.0,63.0,4.0,228.0,80.0,1.0,3.0,32.0,3.0,34.0,111.0,0.0,31.0,0.0,3032.0,13.0,1608.0,3106.0,1727.0,347.0,19.0,413.0,2233.0,1593.0,575.0,347.0,485.0,1256.0,861.0,1022.0,1556.0,72.2
14,서울광진경찰서,2017,7.0,0.0,2351.0,1612.0,1.0,34.0,0.0,64.0,0.0,1.0,94.0,1.0,200.0,43.0,0.0,2.0,97.0,0.0,124.0,55.0,0.0,11.0,0.0,2595.0,13.0,1023.0,2468.0,1324.0,372.0,26.0,426.0,1714.0,1250.0,378.0,370.0,304.0,1087.0,629.0,870.0,1274.0,75.85
15,서울구로경찰서,2017,4.0,0.0,3188.0,1031.0,0.0,81.0,0.0,260.0,0.0,0.0,51.0,1.0,175.0,42.0,0.0,2.0,26.0,0.0,20.0,113.0,0.0,17.0,0.0,3150.0,28.0,1041.0,2726.0,1385.0,504.0,26.0,288.0,1546.0,1749.0,510.0,496.0,401.0,776.0,665.0,1002.0,1771.0,74.55000000000003
16,서울금천경찰서,2017,4.0,0.0,1991.0,912.0,0.0,31.0,0.0,100.0,0.0,0.0,37.0,2.0,120.0,34.0,0.0,3.0,40.0,2.0,22.0,54.0,0.0,48.0,0.0,1661.0,10.0,1079.0,1785.0,1018.0,272.0,18.0,176.0,1049.0,1222.0,339.0,271.0,310.0,634.0,447.0,656.0,1028.0,71.19999999999997
17,서울남대문경찰서,2017,2.0,0.0,1161.0,355.0,0.0,25.0,0.0,59.0,0.0,0.0,70.0,2.0,78.0,14.0,0.0,1.0,15.0,0.0,18.0,24.0,0.0,14.0,0.0,971.0,1.0,534.0,974.0,555.0,143.0,3.0,49.0,743.0,587.0,147.0,143.0,100.0,191.0,235.0,593.0,553.0,76.35
18,서울노원경찰서,2017,8.0,3.0,2745.0,1091.0,2.0,44.0,0.0,196.0,0.0,0.0,55.0,3.0,256.0,73.0,0.0,2.0,11.0,1.0,137.0,62.0,0.0,25.0,0.0,2738.0,3.0,833.0,2577.0,1462.0,105.0,18.0,536.0,1481.0,1495.0,508.0,106.0,490.0,799.0,624.0,912.0,1319.0,79.94999999999997
19,서울도봉경찰서,2017,8.0,11.0,1160.0,583.0,0.0,37.0,0.0,25.0,0.0,0.0,100.0,4.0,134.0,22.0,1.0,4.0,28.0,1.0,22.0,44.0,1.0,84.0,0.0,979.0,4.0,596.0,1114.0,649.0,161.0,14.0,153.0,567.0,792.0,237.0,161.0,286.0,360.0,248.0,397.0,633.0,76.45
20,서울동대문경찰서,2017,11.0,0.0,2432.0,921.0,2.0,86.0,0.0,301.0,0.0,1.0,70.0,5.0,266.0,26.0,0.0,2.0,47.0,0.0,179.0,51.0,0.0,28.0,0.0,2166.0,1.0,1053.0,2293.0,1263.0,268.0,16.0,254.0,1200.0,1503.0,579.0,272.0,334.0,691.0,602.0,933.0,1264.0,76.35
21,서울동작경찰서,2017,5.0,3.0,1646.0,978.0,3.0,46.0,0.0,191.0,0.0,0.0,134.0,3.0,167.0,29.0,1.0,1.0,14.0,2.0,49.0,56.0,0.0,22.0,0.0,1914.0,4.0,744.0,1759.0,972.0,275.0,11.0,261.0,1106.0,979.0,374.0,275.0,256.0,552.0,488.0,697.0,1013.0,77.6
22,서울마포경찰서,2017,5.0,1.0,2824.0,1804.0,1.0,36.0,0.0,47.0,0.0,0.0,9.0,1.0,208.0,52.0,0.0,7.0,29.0,4.0,43.0,71.0,0.0,31.0,0.0,2919.0,32.0,1330.0,2893.0,1523.0,311.0,11.0,533.0,2443.0,1082.0,347.0,311.0,450.0,1482.0,674.0,762.0,1359.0,75.55
23,서울방배경찰서,2017,2.0,0.0,514.0,309.0,1.0,17.0,0.0,73.0,0.0,0.0,7.0,0.0,85.0,17.0,0.0,1.0,7.0,1.0,7.0,17.0,0.0,6.0,0.0,537.0,5.0,240.0,600.0,244.0,79.0,3.0,49.0,326.0,355.0,114.0,76.0,107.0,144.0,167.0,205.0,300.0,81.1
24,서울서대문경찰서,2017,4.0,17.0,1939.0,706.0,1.0,23.0,0.0,126.0,0.0,0.0,119.0,3.0,87.0,21.0,0.0,0.0,21.0,0.0,129.0,64.0,0.0,10.0,0.0,2002.0,7.0,591.0,1848.0,971.0,116.0,14.0,294.0,1175.0,980.0,356.0,116.0,317.0,593.0,444.0,666.0,915.0,78.05
25,서울서부경찰서,2017,2.0,8.0,927.0,370.0,0.0,18.0,0.0,26.0,0.0,1.0,93.0,0.0,64.0,10.0,0.0,0.0,13.0,2.0,14.0,23.0,0.0,38.0,0.0,760.0,8.0,513.0,909.0,460.0,76.0,18.0,123.0,459.0,560.0,209.0,76.0,146.0,281.0,237.0,323.0,458.0,76.3
26,서울서초경찰서,2017,1.0,2.0,1267.0,1890.0,0.0,23.0,1.0,125.0,0.0,0.0,13.0,2.0,279.0,19.0,0.0,1.0,26.0,1.0,49.0,46.0,1.0,13.0,0.0,2037.0,17.0,831.0,1961.0,1080.0,281.0,9.0,192.0,1658.0,929.0,255.0,279.0,330.0,721.0,543.0,794.0,934.0,83.9
27,서울성동경찰서,2017,7.0,0.0,1631.0,710.0,1.0,41.0,0.0,177.0,0.0,0.0,68.0,1.0,128.0,43.0,1.0,1.0,21.0,3.0,9.0,27.0,0.0,22.0,0.0,1535.0,5.0,839.0,1564.0,761.0,310.0,10.0,181.0,974.0,912.0,249.0,309.0,221.0,514.0,383.0,607.0,910.0,75.1
28,서울성북경찰서,2017,1.0,1.0,1069.0,483.0,0.0,23.0,0.0,82.0,0.0,0.0,17.0,2.0,74.0,11.0,0.0,3.0,26.0,2.0,10.0,32.0,0.0,6.0,0.0,1018.0,2.0,490.0,1089.0,535.0,52.0,4.0,186.0,691.0,559.0,184.0,52.0,142.0,337.0,272.0,374.0,551.0,78.35
29,서울송파경찰서,2017,5.0,0.0,3610.0,1349.0,0.0,38.0,0.0,199.0,0.0,0.0,64.0,3.0,419.0,99.0,0.0,6.0,23.0,4.0,101.0,92.0,0.0,16.0,0.0,3179.0,19.0,1304.0,3084.0,1730.0,451.0,35.0,378.0,2047.0,1870.0,495.0,440.0,658.0,849.0,846.0,1291.0,1621.0,77.7
30,서울수서경찰서,2017,4.0,3.0,1395.0,1347.0,0.0,33.0,0.0,38.0,0.0,0.0,11.0,5.0,329.0,12.0,0.0,1.0,10.0,1.0,142.0,51.0,0.0,29.0,0.0,1593.0,10.0,648.0,1728.0,879.0,224.0,19.0,194.0,1134.0,981.0,280.0,223.0,368.0,470.0,535.0,688.0,770.0,81.6
31,서울양천경찰서,2017,1.0,1.0,2599.0,849.0,0.0,53.0,1.0,247.0,0.0,0.0,50.0,1.0,132.0,22.0,0.0,1.0,149.0,1.0,109.0,79.0,0.0,29.0,0.0,2545.0,13.0,720.0,2221.0,1253.0,327.0,42.0,422.0,1101.0,1485.0,429.0,322.0,309.0,713.0,573.0,903.0,1303.0,77.30000000000003
32,서울영등포경찰서,2017,18.0,0.0,3565.0,1728.0,2.0,52.0,1.0,82.0,0.0,0.0,55.0,1.0,327.0,66.0,1.0,9.0,33.0,1.0,49.0,98.0,1.0,33.0,0.0,3511.0,4.0,1369.0,3410.0,1696.0,397.0,23.0,320.0,2037.0,2087.0,640.0,396.0,496.0,1009.0,817.0,1330.0,1851.0,71.44999999999997
33,서울용산경찰서,2017,2.0,0.0,2243.0,1354.0,2.0,42.0,0.0,106.0,0.0,0.0,62.0,3.0,223.0,59.0,0.0,2.0,37.0,3.0,34.0,50.0,0.0,27.0,0.0,2013.0,15.0,1345.0,2401.0,1063.0,347.0,10.0,166.0,1871.0,1112.0,304.0,348.0,328.0,1253.0,678.0,595.0,957.0,77.05
34,서울은평경찰서,2017,3.0,8.0,1308.0,553.0,5.0,41.0,0.0,250.0,1.0,0.0,48.0,1.0,128.0,27.0,1.0,0.0,16.0,0.0,30.0,53.0,0.0,13.0,0.0,1394.0,5.0,549.0,1237.0,811.0,169.0,16.0,209.0,779.0,816.0,229.0,168.0,197.0,469.0,297.0,516.0,738.0,77.45
35,서울종로경찰서,2017,9.0,8.0,1323.0,650.0,0.0,21.0,0.0,72.0,0.0,0.0,105.0,6.0,119.0,19.0,0.0,3.0,19.0,2.0,48.0,48.0,0.0,11.0,0.0,1217.0,8.0,688.0,1444.0,596.0,148.0,6.0,93.0,865.0,784.0,290.0,150.0,226.0,376.0,319.0,557.0,710.0,79.05
36,서울종암경찰서,2017,4.0,0.0,874.0,527.0,0.0,27.0,0.0,49.0,0.0,0.0,20.0,2.0,53.0,11.0,0.0,1.0,11.0,1.0,20.0,38.0,0.0,5.0,0.0,941.0,2.0,416.0,908.0,474.0,119.0,12.0,102.0,449.0,631.0,188.0,119.0,124.0,294.0,248.0,352.0,483.0,74.7
37,서울중랑경찰서,2017,6.0,0.0,2481.0,1536.0,0.0,48.0,1.0,268.0,0.0,2.0,127.0,2.0,203.0,22.0,0.0,2.0,55.0,2.0,111.0,158.0,0.0,33.0,0.0,2729.0,6.0,1146.0,2676.0,1488.0,305.0,26.0,336.0,1419.0,1832.0,545.0,311.0,431.0,904.0,718.0,898.0,1518.0,71.94999999999997
38,서울중부경찰서,2017,5.0,1.0,1576.0,503.0,1.0,49.0,0.0,169.0,0.0,0.0,49.0,4.0,95.0,31.0,0.0,1.0,24.0,1.0,6.0,48.0,0.0,13.0,0.0,1485.0,9.0,636.0,1459.0,751.0,143.0,7.0,88.0,990.0,859.0,266.0,143.0,182.0,462.0,440.0,537.0,732.0,76.85
39,서울혜화경찰서,2017,1.0,0.0,1376.0,219.0,1.0,38.0,0.0,49.0,0.0,0.0,17.0,3.0,101.0,16.0,0.0,5.0,16.0,1.0,8.0,38.0,0.0,14.0,0.0,1016.0,2.0,481.0,1099.0,497.0,105.0,5.0,78.0,591.0,673.0,251.0,103.0,137.0,244.0,261.0,509.0,550.0,78.3
40,충남세종경찰서,2017,1.0,0.0,535.0,711.0,0.0,7.0,0.0,60.0,0.0,0.0,3.0,2.0,153.0,10.0,0.0,1.0,29.0,3.0,24.0,105.0,0.0,14.0,0.0,941.0,2.0,33.0,803.0,448.0,66.0,11.0,108.0,430.0,560.0,140.0,68.0,164.0,166.0,236.0,333.0,418.0,80.15
41,경기수원남부경찰서,2018,11.0,0.0,3874.0,1157.0,0.0,69.0,0.0,493.0,0.0,0.0,66.0,2.0,238.0,47.0,0.0,1.0,77.0,2.0,49.0,208.0,0.0,137.0,0.0,4260.0,14.0,635.0,3490.0,1807.0,373.0,31.0,548.0,2585.0,1772.0,373.0,361.0,577.0,1380.0,875.0,1082.0,1756.0,77.35
42,경기수원서부경찰서,2018,7.0,0.0,1943.0,1320.0,0.0,60.0,0.0,74.0,0.0,0.0,94.0,1.0,89.0,38.0,0.0,1.0,47.0,4.0,17.0,166.0,0.0,50.0,0.0,2708.0,6.0,371.0,2099.0,1193.0,206.0,18.0,306.0,1362.0,1282.0,326.0,204.0,336.0,651.0,499.0,872.0,1140.0,72.9
43,경기수원중부경찰서,2018,4.0,2.0,2869.0,1203.0,0.0,60.0,0.0,128.0,0.0,0.0,32.0,2.0,161.0,26.0,0.0,2.0,42.0,1.0,41.0,203.0,0.0,28.0,0.0,3112.0,7.0,673.0,2496.0,1476.0,326.0,26.0,343.0,1294.0,1778.0,544.0,313.0,437.0,703.0,631.0,1057.0,1470.0,73.7
44,경남마산동부경찰서,2018,0.0,22.0,1178.0,683.0,0.0,19.0,0.0,44.0,0.0,0.0,4.0,2.0,147.0,19.0,0.0,0.0,54.0,1.0,18.0,72.0,0.0,15.0,0.0,1458.0,3.0,161.0,1161.0,645.0,144.0,8.0,122.0,554.0,807.0,320.0,139.0,236.0,402.0,290.0,414.0,608.0,74.2
45,경남마산중부경찰서,2018,0.0,18.0,839.0,396.0,2.0,25.0,0.0,72.0,0.0,2.0,37.0,1.0,92.0,8.0,0.0,0.0,86.0,0.0,7.0,77.0,0.0,18.0,0.0,1030.0,2.0,70.0,805.0,482.0,104.0,8.0,65.0,356.0,614.0,249.0,99.0,153.0,326.0,194.0,292.0,426.0,78.15
46,경남진주경찰서,2018,0.0,0.0,1807.0,1278.0,0.0,15.0,0.0,105.0,0.0,1.0,112.0,2.0,247.0,31.0,0.0,1.0,437.0,1.0,10.0,64.0,0.0,29.0,0.0,2280.0,13.0,203.0,2025.0,1071.0,222.0,9.0,207.0,1154.0,1129.0,608.0,211.0,657.0,526.0,436.0,564.0,1135.0,78.1
47,경남진해경찰서,2018,0.0,0.0,812.0,557.0,0.0,12.0,0.0,5.0,0.0,0.0,6.0,2.0,129.0,7.0,0.0,0.0,56.0,0.0,35.0,57.0,0.0,13.0,0.0,1052.0,1.0,40.0,787.0,441.0,164.0,10.0,87.0,425.0,560.0,147.0,163.0,207.0,276.0,205.0,235.0,469.0,76.75
48,경남창원서부경찰서,2018,0.0,0.0,624.0,854.0,0.0,23.0,0.0,231.0,0.0,1.0,8.0,0.0,104.0,9.0,0.0,2.0,123.0,1.0,11.0,85.0,0.0,19.0,0.0,1263.0,3.0,121.0,998.0,646.0,97.0,6.0,79.0,513.0,849.0,195.0,99.0,243.0,299.0,257.0,376.0,566.0,74.85
49,경남창원중부경찰서,2018,0.0,0.0,1053.0,1173.0,1.0,19.0,0.0,98.0,0.0,0.0,14.0,1.0,153.0,27.0,0.0,0.0,179.0,0.0,6.0,101.0,0.0,30.0,0.0,1718.0,2.0,141.0,1357.0,740.0,261.0,5.0,182.0,914.0,817.0,188.0,252.0,317.0,533.0,421.0,459.0,628.0,76.85
50,서울강남경찰서,2018,2.0,1.0,1960.0,2057.0,0.0,33.0,0.0,76.0,0.0,0.0,12.0,1.0,293.0,27.0,0.0,4.0,50.0,1.0,91.0,74.0,0.0,45.0,0.0,3060.0,26.0,469.0,2283.0,1501.0,357.0,3.0,303.0,2293.0,944.0,253.0,345.0,565.0,988.0,779.0,846.0,963.0,81.1
51,서울강동경찰서,2018,3.0,2.0,2672.0,850.0,0.0,47.0,0.0,120.0,0.0,0.0,24.0,1.0,286.0,21.0,0.0,0.0,7.0,0.0,92.0,61.0,0.0,18.0,0.0,2135.0,1.0,1096.0,2197.0,1274.0,247.0,21.0,302.0,1308.0,1396.0,453.0,238.0,407.0,690.0,623.0,859.0,1139.0,76.75
52,서울강북경찰서,2018,3.0,0.0,2026.0,340.0,1.0,66.0,0.0,706.0,0.0,0.0,56.0,2.0,145.0,28.0,0.0,1.0,28.0,2.0,92.0,52.0,1.0,13.0,0.0,1888.0,1.0,945.0,1961.0,1175.0,62.0,17.0,269.0,1188.0,1205.0,460.0,59.0,345.0,751.0,531.0,657.0,914.0,72.8
53,서울강서경찰서,2018,2.0,0.0,2380.0,1826.0,0.0,55.0,0.0,128.0,0.0,1.0,20.0,15.0,280.0,64.0,0.0,1.0,12.0,1.0,217.0,133.0,0.0,20.0,0.0,2978.0,3.0,688.0,2525.0,1597.0,290.0,30.0,313.0,1649.0,1574.0,568.0,278.0,458.0,785.0,740.0,1057.0,1372.0,78.15
54,서울관악경찰서,2018,4.0,0.0,2433.0,1678.0,13.0,83.0,0.0,349.0,0.0,0.0,68.0,3.0,291.0,53.0,0.0,3.0,41.0,1.0,22.0,108.0,0.0,17.0,0.0,2965.0,8.0,1116.0,2800.0,1491.0,337.0,23.0,313.0,1996.0,1391.0,585.0,320.0,458.0,1000.0,786.0,1012.0,1372.0,74.95
55,서울광진경찰서,2018,1.0,2.0,1925.0,1649.0,0.0,37.0,0.0,110.0,0.0,0.0,53.0,2.0,222.0,48.0,0.0,2.0,41.0,0.0,150.0,73.0,0.0,13.0,0.0,2529.0,11.0,686.0,2285.0,1253.0,239.0,7.0,385.0,1571.0,1191.0,391.0,232.0,376.0,798.0,589.0,815.0,1199.0,75.44999999999997
56,서울구로경찰서,2018,10.0,0.0,3019.0,1089.0,1.0,87.0,0.0,190.0,0.0,1.0,102.0,2.0,198.0,15.0,1.0,1.0,26.0,1.0,12.0,156.0,0.0,11.0,0.0,3258.0,4.0,814.0,2706.0,1422.0,371.0,29.0,269.0,1503.0,1752.0,582.0,364.0,477.0,698.0,714.0,1030.0,1580.0,72.8
57,서울금천경찰서,2018,5.0,0.0,1749.0,1080.0,1.0,34.0,0.0,205.0,1.0,1.0,28.0,1.0,183.0,30.0,0.0,1.0,15.0,1.0,21.0,69.0,0.0,11.0,0.0,1886.0,6.0,880.0,1841.0,999.0,264.0,13.0,149.0,1013.0,1279.0,396.0,254.0,283.0,549.0,493.0,698.0,1081.0,69.05
58,서울남대문경찰서,2018,0.0,0.0,1053.0,373.0,0.0,36.0,0.0,73.0,0.0,0.0,46.0,2.0,111.0,14.0,0.0,2.0,21.0,0.0,29.0,41.0,0.0,5.0,0.0,930.0,3.0,423.0,891.0,584.0,106.0,3.0,42.0,668.0,588.0,179.0,101.0,99.0,166.0,235.0,585.0,496.0,78.35
59,서울노원경찰서,2018,4.0,0.0,2438.0,1005.0,0.0,54.0,4.0,211.0,0.0,0.0,47.0,3.0,313.0,64.0,0.0,4.0,7.0,2.0,98.0,68.0,0.0,18.0,0.0,2546.0,5.0,635.0,2153.0,1318.0,292.0,28.0,395.0,1235.0,1329.0,491.0,285.0,430.0,677.0,566.0,870.0,1220.0,78.1
60,서울도봉경찰서,2018,2.0,11.0,1285.0,632.0,0.0,40.0,0.0,35.0,0.0,0.0,83.0,0.0,152.0,21.0,0.0,1.0,23.0,4.0,40.0,58.0,0.0,34.0,0.0,1366.0,2.0,387.0,1213.0,724.0,151.0,11.0,137.0,641.0,859.0,292.0,148.0,243.0,341.0,346.0,464.0,694.0,78.15
61,서울동대문경찰서,2018,4.0,0.0,2321.0,899.0,3.0,49.0,0.0,294.0,0.0,0.0,26.0,3.0,250.0,46.0,0.0,0.0,48.0,1.0,174.0,94.0,0.0,8.0,0.0,2165.0,1.0,806.0,2223.0,1122.0,251.0,19.0,234.0,1170.0,1340.0,586.0,247.0,304.0,660.0,570.0,883.0,1179.0,74.5
62,서울동작경찰서,2018,1.0,0.0,1429.0,1065.0,0.0,56.0,0.0,93.0,0.0,0.0,119.0,3.0,184.0,20.0,0.0,1.0,9.0,0.0,82.0,74.0,0.0,10.0,0.0,1796.0,0.0,584.0,1668.0,854.0,241.0,10.0,209.0,1084.0,865.0,357.0,238.0,291.0,454.0,500.0,633.0,885.0,75.9
63,서울마포경찰서,2018,10.0,1.0,2749.0,1870.0,0.0,52.0,1.0,43.0,0.0,0.0,48.0,5.0,299.0,25.0,0.0,4.0,15.0,3.0,85.0,118.0,0.0,20.0,1.0,3121.0,12.0,1066.0,2905.0,1551.0,318.0,14.0,470.0,2421.0,1166.0,389.0,314.0,521.0,1434.0,736.0,844.0,1239.0,77.55000000000003
64,서울방배경찰서,2018,1.0,0.0,455.0,291.0,1.0,23.0,0.0,39.0,0.0,0.0,10.0,0.0,61.0,13.0,0.0,0.0,4.0,0.0,15.0,15.0,0.0,3.0,0.0,544.0,1.0,164.0,513.0,261.0,46.0,5.0,48.0,273.0,335.0,113.0,46.0,86.0,112.0,156.0,190.0,276.0,83.4
65,서울서대문경찰서,2018,2.0,22.0,1646.0,750.0,0.0,43.0,1.0,55.0,0.0,0.0,93.0,1.0,149.0,22.0,0.0,3.0,20.0,1.0,102.0,80.0,0.0,9.0,0.0,1731.0,2.0,492.0,1588.0,910.0,114.0,10.0,230.0,1066.0,847.0,348.0,111.0,315.0,462.0,411.0,624.0,800.0,76.8
66,서울서부경찰서,2018,0.0,2.0,930.0,360.0,0.0,21.0,0.0,36.0,0.0,0.0,10.0,3.0,81.0,8.0,0.0,0.0,7.0,1.0,16.0,31.0,0.0,17.0,0.0,815.0,0.0,380.0,832.0,447.0,80.0,2.0,109.0,427.0,510.0,231.0,80.0,131.0,247.0,206.0,307.0,468.0,75.15
67,서울서초경찰서,2018,2.0,0.0,1848.0,1354.0,0.0,44.0,0.0,125.0,0.0,1.0,21.0,3.0,297.0,22.0,0.0,2.0,17.0,1.0,46.0,68.0,0.0,17.0,0.0,2223.0,10.0,689.0,2003.0,1130.0,262.0,9.0,208.0,1673.0,976.0,274.0,255.0,354.0,734.0,643.0,800.0,864.0,84.25
68,서울성동경찰서,2018,1.0,0.0,1372.0,707.0,0.0,42.0,0.0,84.0,0.0,0.0,45.0,0.0,113.0,11.0,0.0,4.0,8.0,0.0,14.0,29.0,0.0,17.0,0.0,1447.0,5.0,603.0,1361.0,722.0,168.0,6.0,165.0,911.0,756.0,250.0,163.0,241.0,384.0,382.0,510.0,734.0,77.85
69,서울성북경찰서,2018,1.0,5.0,911.0,376.0,1.0,26.0,0.0,102.0,0.0,0.0,11.0,0.0,79.0,9.0,0.0,3.0,15.0,1.0,25.0,34.0,0.0,6.0,1.0,932.0,0.0,328.0,909.0,497.0,27.0,13.0,170.0,604.0,436.0,185.0,25.0,169.0,281.0,201.0,336.0,446.0,75.85
70,서울송파경찰서,2018,2.0,0.0,3977.0,1394.0,0.0,72.0,0.0,105.0,0.0,0.0,61.0,5.0,504.0,66.0,1.0,2.0,7.0,1.0,111.0,100.0,0.0,7.0,0.0,3638.0,8.0,1161.0,3301.0,1864.0,446.0,38.0,375.0,2194.0,1951.0,624.0,429.0,758.0,985.0,937.0,1322.0,1609.0,77.7
