,jur_stn,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_비,crm_wthr_암흑,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탐문정보,crm_clue_피해자신고,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0~12세,vic_age_10대,"vic_age_2,30대","vic_age_4,50대",vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,score_강살
104,서울마포경찰서,2019,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,2,1,1,0,0,1,0,1,2,82.85
105,서울방배경찰서,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,83.6
106,서울서대문경찰서,2019,0,0,4,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,3,2,0,0,0,0,4,1,0,2,1,1,0,1,81.0
107,서울서부경찰서,2019,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,77.35
108,서울서초경찰서,2019,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,4,1,0,0,0,3,1,1,0,86.35
109,서울성동경찰서,2019,0,0,10,1,1,1,1,0,1,0,0,0,0,0,0,4,0,7,2,3,10,1,0,0,4,8,1,1,3,4,3,1,3,81.3
110,서울성북경찰서,2019,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,82.9
111,서울송파경찰서,2019,0,0,11,4,0,1,0,0,2,1,0,0,0,0,1,1,0,7,4,12,4,0,0,2,10,1,3,0,2,7,2,0,5,86.2
112,서울수서경찰서,2019,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,2,1,0,0,1,0,0,2,0,82.69999999999997
113,서울양천경찰서,2019,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,4,3,0,0,1,2,2,2,0,0,3,1,1,2,81.5
114,서울영등포경찰서,2019,0,0,8,3,0,0,1,0,0,0,0,0,0,0,0,2,0,2,8,6,5,1,0,0,3,6,2,1,1,1,2,1,7,76.75
115,서울용산경찰서,2019,0,0,2,3,0,1,0,0,1,0,0,0,0,0,0,2,0,2,1,4,1,1,0,0,1,3,1,1,1,2,0,2,1,84.6
116,서울은평경찰서,2019,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,79.0
117,서울종로경찰서,2019,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,4,0,0,1,0,1,2,0,0,0,0,0,4,0,86.3
118,서울종암경찰서,2019,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,2,1,0,0,1,0,2,0,79.35
119,서울중랑경찰서,2019,0,0,9,1,0,1,1,0,0,0,2,0,0,0,0,4,0,3,3,6,6,0,0,0,4,7,1,0,2,5,4,1,0,74.85
120,서울중부경찰서,2019,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,4,1,0,0,1,3,0,1,0,0,2,1,0,2,79.75
121,서울혜화경찰서,2019,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,1,2,0,0,0,0,0,1,1,1,75.2
122,충남세종경찰서,2019,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,2,82.4
