,jur_stn,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0~12세,vic_age_10대,"vic_age_2,30대","vic_age_4,50대",vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,score_법질서
10,서울강동경찰서,2017,5.0,0.0,2626.0,2449.0,0.0,83.0,0.0,81.0,0.0,1.0,95.0,283.0,1153.0,437.0,2.0,63.0,16.0,59.0,872.0,281.0,1.0,61.0,0.0,1530.0,7.0,575.0,2482.0,1547.0,1311.0,58.0,227.0,1478.0,1682.0,558.0,1337.0,1855.0,473.0,839.0,1077.0,1096.0,68.1
11,서울강북경찰서,2017,7.0,0.0,1902.0,2137.0,0.0,61.0,0.0,283.0,0.0,1.0,105.0,236.0,853.0,334.0,1.0,43.0,5.0,169.0,669.0,329.0,0.0,65.0,0.0,1133.0,1.0,658.0,2212.0,1270.0,1014.0,52.0,230.0,1401.0,1337.0,450.0,1026.0,1199.0,530.0,729.0,984.0,1054.0,62.75
12,서울강서경찰서,2017,7.0,8.0,2751.0,3818.0,1.0,57.0,2.0,108.0,0.0,2.0,34.0,539.0,1451.0,983.0,0.0,42.0,35.0,42.0,1124.0,369.0,0.0,112.0,3.0,1289.0,10.0,789.0,2995.0,1850.0,1943.0,58.0,264.0,2090.0,1837.0,568.0,1971.0,1872.0,635.0,1342.0,1499.0,1440.0,63.05
13,서울관악경찰서,2017,2.0,0.0,3074.0,3891.0,0.0,41.0,0.0,132.0,0.0,0.0,42.0,455.0,1421.0,648.0,1.0,393.0,23.0,95.0,1045.0,546.0,1.0,78.0,1.0,1604.0,10.0,861.0,2959.0,2026.0,2197.0,202.0,302.0,2254.0,1530.0,673.0,2221.0,2121.0,818.0,1170.0,1497.0,1576.0,58.95
14,서울광진경찰서,2017,3.0,1.0,2086.0,2830.0,0.0,46.0,0.0,83.0,0.0,0.0,39.0,429.0,1064.0,408.0,2.0,97.0,108.0,53.0,754.0,284.0,0.0,70.0,1.0,1242.0,29.0,547.0,2179.0,1409.0,1500.0,46.0,243.0,1619.0,1174.0,448.0,1558.0,1519.0,472.0,934.0,1009.0,1154.0,65.6
15,서울구로경찰서,2017,13.0,1.0,3241.0,2874.0,0.0,81.0,1.0,82.0,0.0,1.0,49.0,324.0,1531.0,644.0,5.0,55.0,31.0,33.0,889.0,408.0,1.0,140.0,1.0,1617.0,6.0,658.0,2956.0,1750.0,1637.0,52.0,236.0,1946.0,1825.0,614.0,1670.0,2164.0,466.0,940.0,1410.0,1363.0,65.4
16,서울금천경찰서,2017,2.0,0.0,1702.0,3199.0,1.0,25.0,0.0,60.0,0.0,1.0,15.0,346.0,1687.0,420.0,0.0,77.0,47.0,42.0,732.0,235.0,0.0,70.0,0.0,833.0,3.0,513.0,2000.0,1179.0,1826.0,28.0,148.0,1284.0,1348.0,341.0,1856.0,1267.0,410.0,819.0,1153.0,1356.0,62.45
17,서울남대문경찰서,2017,4.0,2.0,1370.0,1380.0,1.0,32.0,1.0,8.0,0.0,0.0,30.0,201.0,669.0,234.0,0.0,27.0,10.0,97.0,615.0,75.0,0.0,30.0,2.0,630.0,0.0,238.0,1308.0,736.0,784.0,7.0,76.0,890.0,818.0,238.0,799.0,909.0,94.0,550.0,819.0,456.0,60.15
18,서울노원경찰서,2017,7.0,8.0,2445.0,3087.0,2.0,94.0,1.0,89.0,0.0,2.0,43.0,413.0,1146.0,552.0,2.0,48.0,11.0,39.0,1089.0,518.0,0.0,238.0,0.0,1404.0,3.0,315.0,2572.0,1715.0,1491.0,69.0,438.0,1672.0,1545.0,548.0,1506.0,2259.0,430.0,885.0,1119.0,1085.0,71.5
19,서울도봉경찰서,2017,4.0,6.0,1515.0,1786.0,0.0,37.0,1.0,36.0,0.0,0.0,98.0,270.0,857.0,402.0,0.0,20.0,23.0,116.0,536.0,264.0,1.0,86.0,0.0,671.0,3.0,234.0,1546.0,1056.0,881.0,48.0,189.0,863.0,1062.0,437.0,884.0,1214.0,241.0,581.0,791.0,656.0,65.4
20,서울동대문경찰서,2017,5.0,2.0,2464.0,2793.0,1.0,77.0,0.0,132.0,1.0,1.0,109.0,385.0,1318.0,754.0,1.0,138.0,20.0,28.0,975.0,302.0,0.0,115.0,1.0,1007.0,4.0,537.0,2665.0,1468.0,1452.0,31.0,261.0,1534.0,1611.0,679.0,1469.0,1676.0,410.0,1018.0,1288.0,1193.0,67.3
21,서울동작경찰서,2017,12.0,7.0,2045.0,2219.0,0.0,69.0,0.0,95.0,0.0,1.0,77.0,320.0,883.0,330.0,0.0,25.0,17.0,93.0,659.0,225.0,0.0,44.0,4.0,1582.0,1.0,342.0,2080.0,1518.0,927.0,53.0,244.0,1561.0,1269.0,469.0,929.0,1182.0,378.0,806.0,1093.0,1066.0,63.55
22,서울마포경찰서,2017,11.0,0.0,2962.0,4235.0,2.0,65.0,0.0,72.0,0.0,1.0,17.0,413.0,1596.0,724.0,2.0,207.0,70.0,93.0,852.0,419.0,0.0,92.0,0.0,2168.0,7.0,722.0,3322.0,2075.0,1968.0,48.0,348.0,2618.0,1797.0,528.0,2026.0,1855.0,855.0,1295.0,1692.0,1668.0,65.9
23,서울방배경찰서,2017,2.0,0.0,977.0,1079.0,0.0,30.0,0.0,31.0,0.0,1.0,14.0,92.0,567.0,181.0,2.0,105.0,2.0,30.0,325.0,81.0,0.0,13.0,1.0,640.0,1.0,94.0,945.0,653.0,536.0,25.0,96.0,667.0,589.0,218.0,539.0,561.0,154.0,433.0,555.0,431.0,73.85
24,서울서대문경찰서,2017,3.0,3.0,1850.0,2886.0,1.0,42.0,1.0,53.0,0.0,2.0,89.0,249.0,844.0,282.0,1.0,46.0,3.0,101.0,1354.0,196.0,0.0,65.0,1.0,1432.0,4.0,352.0,2301.0,1600.0,1029.0,40.0,321.0,1897.0,1180.0,461.0,1031.0,1639.0,400.0,808.0,1109.0,974.0,67.55
25,서울서부경찰서,2017,3.0,2.0,738.0,887.0,0.0,19.0,0.0,25.0,0.0,0.0,29.0,148.0,358.0,109.0,0.0,19.0,33.0,64.0,215.0,130.0,0.0,35.0,0.0,396.0,2.0,194.0,758.0,495.0,450.0,20.0,83.0,441.0,475.0,200.0,484.0,375.0,158.0,432.0,387.0,351.0,66.6
26,서울서초경찰서,2017,4.0,1.0,2943.0,4834.0,0.0,60.0,1.0,45.0,0.0,2.0,60.0,521.0,3030.0,417.0,0.0,81.0,17.0,164.0,751.0,288.0,0.0,59.0,1.0,2154.0,11.0,456.0,3921.0,2281.0,1748.0,47.0,241.0,2508.0,2521.0,847.0,1786.0,1968.0,477.0,2224.0,1946.0,1335.0,74.15
27,서울성동경찰서,2017,3.0,0.0,1957.0,2376.0,0.0,57.0,0.0,53.0,0.0,1.0,110.0,287.0,999.0,281.0,4.0,112.0,39.0,40.0,1020.0,184.0,2.0,85.0,0.0,1177.0,7.0,320.0,1965.0,1437.0,1155.0,23.0,191.0,1595.0,1189.0,393.0,1166.0,1063.0,318.0,1073.0,1243.0,860.0,65.0
28,서울성북경찰서,2017,2.0,0.0,1476.0,1022.0,0.0,46.0,0.0,50.0,0.0,0.0,28.0,181.0,503.0,113.0,1.0,24.0,5.0,142.0,277.0,179.0,0.0,23.0,0.0,970.0,2.0,204.0,1313.0,817.0,494.0,45.0,216.0,888.0,712.0,263.0,500.0,681.0,210.0,491.0,633.0,609.0,67.0
29,서울송파경찰서,2017,11.0,1.0,4756.0,4548.0,0.0,147.0,0.0,170.0,0.0,1.0,138.0,383.0,2067.0,824.0,2.0,97.0,77.0,114.0,1415.0,523.0,0.0,100.0,1.0,3474.0,7.0,688.0,4694.0,2863.0,2215.0,114.0,561.0,3075.0,2821.0,947.0,2254.0,3156.0,795.0,1534.0,2169.0,2118.0,66.19999999999999
30,서울수서경찰서,2017,3.0,1.0,2290.0,3842.0,2.0,62.0,0.0,47.0,0.0,0.0,33.0,384.0,2299.0,395.0,1.0,54.0,14.0,34.0,1076.0,211.0,1.0,47.0,0.0,1421.0,5.0,338.0,2922.0,1835.0,1523.0,42.0,229.0,1895.0,1964.0,599.0,1551.0,2593.0,316.0,1126.0,1262.0,983.0,74.45
31,서울양천경찰서,2017,4.0,0.0,2271.0,2270.0,0.0,64.0,0.0,117.0,0.0,1.0,34.0,310.0,1128.0,393.0,1.0,45.0,47.0,36.0,632.0,301.0,0.0,77.0,2.0,1395.0,4.0,390.0,2171.0,1369.0,1221.0,62.0,250.0,1234.0,1441.0,528.0,1246.0,1334.0,381.0,879.0,1142.0,1025.0,69.1
32,서울영등포경찰서,2017,10.0,0.0,3949.0,4703.0,1.0,94.0,1.0,49.0,0.0,0.0,40.0,452.0,2048.0,599.0,1.0,333.0,181.0,45.0,1155.0,307.0,0.0,160.0,2.0,2638.0,9.0,917.0,3883.0,2551.0,2413.0,56.0,380.0,2782.0,2398.0,784.0,2447.0,2592.0,657.0,1563.0,2079.0,1956.0,62.3
33,서울용산경찰서,2017,4.0,1.0,1987.0,2679.0,0.0,44.0,0.0,37.0,0.0,0.0,41.0,294.0,1008.0,469.0,0.0,53.0,20.0,69.0,576.0,183.0,0.0,71.0,3.0,1466.0,9.0,572.0,2110.0,1400.0,1283.0,28.0,153.0,1721.0,1216.0,382.0,1293.0,1197.0,611.0,846.0,1238.0,901.0,66.7
34,서울은평경찰서,2017,8.0,1.0,1316.0,1495.0,6.0,30.0,0.0,132.0,0.0,0.0,36.0,156.0,558.0,302.0,0.0,46.0,4.0,103.0,724.0,133.0,0.0,34.0,2.0,653.0,4.0,305.0,1371.0,900.0,753.0,34.0,207.0,915.0,840.0,274.0,754.0,893.0,266.0,535.0,680.0,650.0,67.5
35,서울종로경찰서,2017,3.0,6.0,1334.0,1536.0,2.0,30.0,0.0,97.0,0.0,1.0,62.0,144.0,672.0,284.0,0.0,81.0,6.0,53.0,558.0,173.0,0.0,49.0,0.0,661.0,1.0,389.0,1435.0,789.0,847.0,14.0,101.0,892.0,854.0,351.0,859.0,867.0,229.0,503.0,821.0,651.0,62.8
36,서울종암경찰서,2017,1.0,0.0,1003.0,1082.0,3.0,39.0,0.0,30.0,0.0,1.0,30.0,174.0,393.0,160.0,3.0,11.0,19.0,110.0,352.0,145.0,0.0,38.0,0.0,602.0,0.0,182.0,1017.0,607.0,565.0,25.0,105.0,645.0,596.0,240.0,578.0,472.0,166.0,619.0,477.0,455.0,64.85
37,서울중랑경찰서,2017,9.0,1.0,2784.0,2560.0,0.0,60.0,0.0,126.0,0.0,1.0,72.0,370.0,804.0,466.0,1.0,119.0,45.0,40.0,634.0,343.0,0.0,73.0,1.0,1970.0,5.0,742.0,2608.0,1579.0,1426.0,60.0,296.0,1575.0,1713.0,537.0,1432.0,1365.0,602.0,1024.0,1253.0,1369.0,61.55
38,서울중부경찰서,2017,2.0,1.0,1534.0,1597.0,1.0,43.0,0.0,89.0,0.0,0.0,28.0,196.0,580.0,486.0,0.0,79.0,7.0,59.0,391.0,139.0,0.0,37.0,1.0,975.0,3.0,342.0,1452.0,857.0,986.0,11.0,93.0,987.0,872.0,336.0,996.0,755.0,294.0,608.0,896.0,742.0,67.15
39,서울혜화경찰서,2017,8.0,2.0,1277.0,1281.0,1.0,28.0,0.0,21.0,0.0,0.0,15.0,117.0,499.0,225.0,1.0,117.0,10.0,31.0,346.0,134.0,0.0,128.0,0.0,715.0,4.0,306.0,1167.0,685.0,781.0,8.0,79.0,756.0,727.0,282.0,781.0,670.0,186.0,479.0,793.0,505.0,65.1
40,충남세종경찰서,2017,5.0,0.0,755.0,1721.0,1.0,27.0,1.0,28.0,0.0,1.0,40.0,226.0,763.0,140.0,1.0,16.0,12.0,52.0,437.0,272.0,0.0,22.0,0.0,588.0,1.0,49.0,1348.0,697.0,534.0,48.0,108.0,799.0,839.0,234.0,551.0,990.0,109.0,453.0,571.0,456.0,69.55000000000001
41,경기수원남부경찰서,2018,3.0,0.0,2489.0,4123.0,0.0,34.0,0.0,171.0,0.0,0.0,20.0,339.0,1428.0,456.0,6.0,188.0,13.0,16.0,1819.0,453.0,0.0,89.0,1.0,1442.0,4.0,586.0,2963.0,1852.0,2025.0,44.0,368.0,2259.0,1765.0,374.0,2030.0,3096.0,627.0,816.0,1078.0,1223.0,69.5
42,경기수원서부경찰서,2018,4.0,0.0,1151.0,2885.0,0.0,26.0,0.0,19.0,0.0,0.0,24.0,227.0,1083.0,222.0,1.0,80.0,10.0,6.0,877.0,230.0,0.0,51.0,2.0,872.0,3.0,445.0,1922.0,1219.0,968.0,36.0,271.0,1386.0,1179.0,224.0,1013.0,1535.0,278.0,557.0,902.0,837.0,67.3
43,경기수원중부경찰서,2018,2.0,0.0,1835.0,3142.0,1.0,25.0,0.0,64.0,0.0,0.0,12.0,255.0,927.0,204.0,3.0,261.0,20.0,7.0,1396.0,342.0,1.0,118.0,0.0,983.0,0.0,564.0,2118.0,1506.0,1457.0,39.0,337.0,1454.0,1435.0,340.0,1476.0,2072.0,381.0,644.0,971.0,1013.0,68.55
44,경남마산동부경찰서,2018,0.0,5.0,758.0,1374.0,0.0,9.0,0.0,10.0,0.0,1.0,11.0,183.0,547.0,101.0,2.0,2.0,5.0,2.0,638.0,92.0,0.0,26.0,0.0,382.0,0.0,188.0,1051.0,620.0,497.0,9.0,118.0,669.0,691.0,183.0,498.0,940.0,107.0,307.0,444.0,370.0,70.35
45,경남마산중부경찰서,2018,0.0,8.0,467.0,1137.0,0.0,5.0,0.0,5.0,0.0,0.0,13.0,118.0,415.0,231.0,1.0,8.0,27.0,3.0,379.0,52.0,0.0,35.0,0.0,252.0,1.0,113.0,671.0,434.0,530.0,4.0,55.0,373.0,505.0,163.0,535.0,751.0,127.0,200.0,294.0,263.0,69.75
46,경남진주경찰서,2018,0.0,0.0,1167.0,2219.0,0.0,6.0,0.0,38.0,0.0,0.0,4.0,253.0,1030.0,127.0,6.0,6.0,35.0,4.0,1199.0,202.0,0.0,42.0,0.0,338.0,3.0,189.0,1648.0,937.0,849.0,20.0,237.0,967.0,1088.0,275.0,847.0,1948.0,157.0,384.0,506.0,439.0,69.25
47,경남진해경찰서,2018,0.0,0.0,467.0,1119.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,168.0,456.0,55.0,0.0,12.0,3.0,3.0,479.0,106.0,0.0,20.0,0.0,189.0,2.0,101.0,650.0,423.0,521.0,9.0,58.0,391.0,487.0,123.0,526.0,674.0,104.0,395.0,191.0,230.0,73.2
48,경남창원서부경찰서,2018,0.0,0.0,661.0,1464.0,0.0,10.0,0.0,73.0,0.0,0.0,13.0,152.0,534.0,146.0,0.0,10.0,4.0,5.0,771.0,93.0,0.0,39.0,1.0,317.0,1.0,148.0,1059.0,615.0,547.0,11.0,132.0,614.0,779.0,133.0,552.0,1044.0,139.0,280.0,436.0,322.0,66.94999999999999
49,경남창원중부경찰서,2018,0.0,0.0,899.0,2340.0,0.0,11.0,0.0,33.0,0.0,0.0,6.0,211.0,937.0,184.0,0.0,15.0,33.0,1.0,975.0,134.0,0.0,27.0,0.0,626.0,2.0,144.0,1634.0,894.0,761.0,8.0,177.0,1108.0,1037.0,190.0,769.0,1599.0,171.0,499.0,573.0,447.0,69.6
50,서울강남경찰서,2018,6.0,3.0,2009.0,6125.0,1.0,48.0,0.0,71.0,0.0,2.0,18.0,362.0,3327.0,450.0,3.0,176.0,257.0,18.0,1569.0,268.0,0.0,137.0,3.0,1163.0,9.0,541.0,3437.0,2535.0,2311.0,6.0,188.0,2849.0,2167.0,596.0,2477.0,4424.0,534.0,1007.0,1222.0,1096.0,71.6
51,서울강동경찰서,2018,4.0,1.0,1478.0,2374.0,2.0,23.0,0.0,50.0,0.0,2.0,23.0,284.0,939.0,259.0,3.0,45.0,6.0,8.0,968.0,204.0,1.0,38.0,2.0,691.0,0.0,509.0,1743.0,1106.0,1108.0,19.0,124.0,1063.0,1199.0,429.0,1123.0,1617.0,307.0,526.0,739.0,768.0,68.4
52,서울강북경찰서,2018,2.0,0.0,1156.0,2366.0,1.0,25.0,0.0,306.0,0.0,2.0,35.0,205.0,872.0,252.0,1.0,42.0,6.0,10.0,873.0,273.0,0.0,36.0,0.0,721.0,2.0,600.0,1773.0,1149.0,971.0,22.0,222.0,1240.0,1107.0,320.0,982.0,1510.0,439.0,491.0,741.0,712.0,66.15
53,서울강서경찰서,2018,2.0,1.0,2304.0,3941.0,2.0,45.0,0.0,85.0,0.0,0.0,15.0,517.0,1646.0,490.0,1.0,83.0,20.0,8.0,1435.0,375.0,0.0,60.0,2.0,1055.0,3.0,700.0,2697.0,1824.0,1874.0,26.0,226.0,1866.0,1827.0,546.0,1904.0,2521.0,484.0,1078.0,1274.0,1038.0,66.4
54,서울관악경찰서,2018,3.0,0.0,1833.0,4269.0,9.0,48.0,0.0,152.0,0.0,0.0,40.0,468.0,1283.0,520.0,0.0,179.0,11.0,10.0,1358.0,453.0,0.0,51.0,0.0,1137.0,3.0,881.0,2650.0,1857.0,1847.0,161.0,246.0,2199.0,1328.0,548.0,1872.0,2426.0,644.0,788.0,1277.0,1219.0,65.75
55,서울광진경찰서,2018,1.0,0.0,1538.0,2653.0,0.0,42.0,0.0,62.0,0.0,0.0,34.0,356.0,1032.0,383.0,2.0,107.0,25.0,6.0,851.0,222.0,0.0,38.0,2.0,843.0,3.0,460.0,1698.0,1282.0,1350.0,25.0,213.0,1368.0,1067.0,287.0,1370.0,1527.0,359.0,711.0,866.0,867.0,70.15
56,서울구로경찰서,2018,1.0,0.0,2121.0,2859.0,0.0,45.0,0.0,53.0,0.0,0.0,28.0,357.0,1449.0,332.0,0.0,31.0,22.0,6.0,925.0,205.0,1.0,64.0,0.0,1144.0,2.0,569.0,2168.0,1392.0,1547.0,29.0,167.0,1403.0,1463.0,459.0,1586.0,2114.0,311.0,633.0,1116.0,933.0,64.9
57,서울금천경찰서,2018,0.0,0.0,1432.0,2971.0,2.0,28.0,0.0,81.0,0.0,1.0,23.0,244.0,1402.0,359.0,0.0,167.0,26.0,16.0,906.0,167.0,0.0,53.0,0.0,608.0,3.0,587.0,1778.0,1029.0,1731.0,19.0,144.0,1149.0,1185.0,289.0,1752.0,1740.0,293.0,662.0,1006.0,837.0,66.2
58,서울남대문경찰서,2018,1.0,0.0,811.0,1282.0,0.0,20.0,0.0,25.0,0.0,0.0,16.0,181.0,680.0,139.0,0.0,28.0,5.0,2.0,489.0,78.0,0.0,11.0,0.0,344.0,2.0,196.0,901.0,675.0,579.0,0.0,51.0,708.0,617.0,178.0,601.0,754.0,51.0,404.0,638.0,308.0,68.55000000000001
59,서울노원경찰서,2018,3.0,6.0,1370.0,2860.0,1.0,35.0,0.0,75.0,0.0,2.0,41.0,358.0,893.0,259.0,1.0,32.0,4.0,6.0,1289.0,303.0,1.0,148.0,1.0,768.0,1.0,329.0,1874.0,1254.0,1265.0,30.0,335.0,1202.0,1183.0,363.0,1280.0,2132.0,309.0,480.0,741.0,731.0,70.44999999999997
60,서울도봉경찰서,2018,1.0,0.0,824.0,1947.0,1.0,9.0,0.0,32.0,0.0,0.0,35.0,235.0,880.0,148.0,1.0,38.0,9.0,3.0,720.0,165.0,0.0,55.0,1.0,385.0,2.0,207.0,1212.0,854.0,783.0,34.0,129.0,745.0,877.0,272.0,792.0,1393.0,170.0,369.0,513.0,404.0,66.9
61,서울동대문경찰서,2018,1.0,0.0,1470.0,2644.0,2.0,45.0,0.0,125.0,0.0,3.0,37.0,407.0,1100.0,289.0,1.0,64.0,14.0,6.0,959.0,198.0,0.0,152.0,0.0,617.0,1.0,519.0,1867.0,1136.0,1324.0,18.0,177.0,1199.0,1142.0,457.0,1334.0,1628.0,286.0,763.0,885.0,765.0,65.44999999999999
62,서울동작경찰서,2018,3.0,3.0,1164.0,2207.0,0.0,32.0,0.0,33.0,0.0,1.0,47.0,267.0,954.0,182.0,0.0,33.0,6.0,5.0,768.0,177.0,0.0,45.0,3.0,769.0,1.0,280.0,1451.0,1218.0,821.0,19.0,157.0,1213.0,916.0,353.0,832.0,1315.0,242.0,520.0,808.0,605.0,67.65
63,서울마포경찰서,2018,1.0,1.0,1818.0,3882.0,0.0,35.0,0.0,51.0,0.0,0.0,27.0,355.0,1388.0,461.0,0.0,148.0,43.0,8.0,1131.0,329.0,1.0,53.0,0.0,1217.0,3.0,678.0,2293.0,1758.0,1764.0,14.0,301.0,2112.0,1234.0,350.0,1804.0,2051.0,601.0,820.0,1342.0,1001.0,68.9
64,서울방배경찰서,2018,1.0,0.0,887.0,1232.0,0.0,14.0,0.0,18.0,0.0,0.0,6.0,138.0,571.0,150.0,1.0,266.0,4.0,3.0,486.0,51.0,0.0,5.0,1.0,392.0,0.0,90.0,852.0,600.0,706.0,12.0,126.0,582.0,510.0,212.0,716.0,840.0,111.0,344.0,533.0,330.0,78.1
65,서울서대문경찰서,2018,1.0,1.0,1353.0,2518.0,1.0,19.0,0.0,31.0,0.0,0.0,35.0,224.0,743.0,289.0,0.0,63.0,37.0,8.0,1128.0,220.0,0.0,32.0,0.0,838.0,2.0,375.0,1592.0,1323.0,1044.0,19.0,248.0,1412.0,912.0,322.0,1046.0,1548.0,287.0,552.0,843.0,729.0,69.3
66,서울서부경찰서,2018,0.0,1.0,499.0,919.0,1.0,16.0,0.0,16.0,0.0,0.0,6.0,113.0,375.0,88.0,0.0,22.0,2.0,3.0,308.0,102.0,0.0,35.0,0.0,255.0,0.0,155.0,611.0,441.0,406.0,11.0,77.0,400.0,427.0,135.0,408.0,556.0,109.0,230.0,311.0,252.0,67.65
67,서울서초경찰서,2018,4.0,0.0,1761.0,4553.0,1.0,23.0,0.0,51.0,0.0,2.0,14.0,452.0,2922.0,203.0,0.0,26.0,12.0,11.0,769.0,207.0,2.0,56.0,3.0,1286.0,5.0,455.0,2962.0,1808.0,1639.0,17.0,192.0,1996.0,1896.0,637.0,1671.0,2908.0,339.0,1092.0,1247.0,823.0,76.1
68,서울성동경찰서,2018,0.0,0.0,1125.0,2184.0,1.0,23.0,0.0,34.0,0.0,1.0,31.0,268.0,1028.0,188.0,3.0,35.0,6.0,7.0,753.0,110.0,0.0,51.0,0.0,661.0,0.0,289.0,1444.0,1051.0,904.0,8.0,131.0,1196.0,886.0,260.0,918.0,1595.0,171.0,510.0,667.0,456.0,70.44999999999997
69,서울성북경찰서,2018,2.0,2.0,803.0,1235.0,0.0,19.0,0.0,30.0,0.0,0.0,9.0,117.0,472.0,86.0,0.0,30.0,2.0,2.0,511.0,114.0,0.0,19.0,2.0,602.0,1.0,142.0,968.0,697.0,435.0,22.0,129.0,785.0,552.0,173.0,439.0,854.0,131.0,345.0,422.0,348.0,71.30000000000003
