관할서,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_비,crm_wthr_암흑,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탐문정보,crm_clue_피해자신고,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0_12세,vic_age_10대,vic_age_2_30대,vic_age_4_50대,vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,강도살인_발생수,강도살인_검거수,강도살인_검거율,화재건수,화재_사망,화재_부상,화재_인명피해_계,화재_부동산피해_천원,화재_동산피해_천원,화재_재산피해_천원,화재_재산피해_건당천원,cctv_개수,공원_개수,배치인원_수,보안등_개수,비상벨_개수,유흥업소_개수,일인가구수,자살건수,자살_사망률_10만명당,자살_연령표준화사망률_10만명당,총_인구수,기초수급_19세이하,기초수급_20_34세,기초수급_35_59세,기초수급_60세이상,기초수급_총합,외국인수,score_강살
서울구로경찰서,2017,0,0,8,5,0,1,0,0,1,1,1,0,0,1,0,2,0,5,3,8,6,0,0,2,3,9,0,0,0,6,1,4,3,13,13,1.0,260.0,1,5.0,6.0,112488.0,348080.0,460568.0,1771.0,3659,45,395,7816,605.0,107,42984.0,20,9.7,9.0,436869,16732,4593,17586,25170,64081,49996,77.0
서울금천경찰서,2017,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0,1,0,2,5,3,6,0,1,2,0,4,2,0,2,3,0,0,4,12,11,0.917,174.0,2,7.0,9.0,163006.0,442543.0,605549.0,3480.0,4226,50,274,6260,465.0,118,32928.0,17,14.9,11.9,249930,18041,5505,22825,27046,73417,30317,72.65
서울남대문경찰서,2017,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,1,3,1,0,0,1,1,3,0,5,8,1.6,198.0,5,14.0,19.0,199688.0,285704.0,485392.0,2451.0,725,16,186,1137,153.0,88,3454.0,7,11.5,6.4,77492,5355,1318,9075,14915,30663,1948,77.5
서울노원경찰서,2017,0,0,5,5,1,1,0,0,1,0,1,0,0,0,0,2,0,2,6,10,2,0,0,1,4,3,4,0,1,5,3,1,2,2,2,1.0,279.0,3,18.0,21.0,284890.0,281931.0,566821.0,2032.0,1998,167,415,4078,61.0,63,49265.0,40,14.0,11.4,543499,38389,18533,60426,71656,189004,6539,79.9
서울도봉경찰서,2017,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,3,2,0,0,0,1,2,2,0,0,0,1,1,3,3,3,1.0,192.0,2,6.0,8.0,76077.0,212759.0,288836.0,1504.0,10,71,273,6337,622.0,68,29469.0,29,16.7,11.6,332586,26072,6713,23774,26428,82987,4145,77.1
서울동대문경찰서,2017,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,4,1,3,4,5,7,0,0,2,3,3,4,0,1,4,3,2,2,1,1,1.0,200.0,1,2.0,3.0,475285.0,647169.0,1122454.0,5612.0,26,14,429,10730,2.0,150,54030.0,9,5.2,4.1,357380,19631,5890,25660,38161,89342,20374,79.30000000000003
서울동작경찰서,2017,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,5,2,0,0,0,4,2,1,0,1,2,0,0,4,10,11,1.1,222.0,3,10.0,13.0,128070.0,149074.0,277144.0,1248.0,2033,53,353,8848,732.0,83,54355.0,24,11.9,9.1,400236,14196,4680,17033,24105,60014,18592,80.35
서울마포경찰서,2017,0,0,8,4,0,1,0,0,1,0,0,0,0,0,0,1,1,5,5,7,6,0,1,1,7,3,1,0,0,5,2,2,4,4,5,1.25,235.0,1,7.0,8.0,1051681.0,307348.0,1359029.0,5783.0,2317,82,458,7628,617.0,121,54162.0,29,15.0,12.9,368841,11417,5092,17224,23663,57396,13842,77.45
서울방배경찰서,2017,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,4,0,0,0,3,1,0,0,5,4,0.8,242.0,2,13.0,15.0,284206.0,411461.0,695667.0,2875.0,2691,25,141,3231,1.0,24,10671.0,24,10.6,9.8,151407,9682,3940,10763,13078,37463,2364,82.75
서울서대문경찰서,2017,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,2,0,1,0,3,0,1,0,1,2,0,1,1,6,8,1.3330000000000002,232.0,1,15.0,16.0,181371.0,216202.0,397573.0,1714.0,2938,58,322,6938,330.0,75,43418.0,15,9.5,7.8,321345,15922,4130,15037,21841,56930,14763,79.8
서울서부경찰서,2017,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,1,5,0,0,0,0,2,4,0,1,0,3,1,1,13,13,1.0,159.0,0,3.0,3.0,100299.0,117901.0,218200.0,1372.0,1870,46,221,3546,178.0,96,21096.0,36,14.6,13.4,187131,35570,9856,33199,43112,121737,3345,77.44999999999997
서울서초경찰서,2017,0,0,6,7,0,0,0,0,2,0,1,0,0,0,0,0,2,2,6,9,4,0,1,2,5,5,0,0,4,1,3,4,1,5,5,1.0,242.0,2,13.0,15.0,284206.0,411461.0,695667.0,2875.0,4237,88,339,4405,0.0,115,29403.0,24,10.6,9.8,289695,9682,3940,10763,13078,37463,5621,84.25
서울성동경찰서,2017,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,1,1,1,0,0,0,1,1,0,1,19,22,1.158,197.0,1,11.0,12.0,228269.0,393055.0,621324.0,3154.0,3241,54,320,6228,641.0,62,39067.0,17,11.3,8.5,302367,12936,4150,16981,20999,55066,12604,77.35
서울성북경찰서,2017,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,6,0,0,1,2,4,1,0,1,2,1,2,2,9,16,1.778,183.0,1,8.0,9.0,182471.0,218169.0,400640.0,2189.0,2015,29,252,7048,418.0,36,33466.0,27,12.0,10.9,257352,25191,7588,27582,36260,96621,9006,80.35
서울송파경찰서,2017,0,0,8,2,0,0,0,0,3,1,1,0,0,0,0,0,0,2,3,5,5,0,1,0,2,4,3,0,1,1,3,3,2,5,5,1.0,318.0,3,13.0,16.0,250145.0,389082.0,639227.0,2010.0,2096,140,538,8817,815.0,241,58848.0,49,14.6,13.9,633953,22691,6369,20709,23297,73066,12233,79.9
서울수서경찰서,2017,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0,1,3,2,2,6,0,0,1,5,2,0,0,1,1,0,3,3,15,18,1.2,502.0,0,11.0,11.0,771016.0,794242.0,1565258.0,3118.0,3124,70,312,3031,667.0,115,20264.0,35,12.2,10.9,230349,17789,8699,25298,33903,85689,2622,82.0
서울양천경찰서,2017,1,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,0,0,0,1,4,0,0,0,1,3,0,1,8,10,1.25,244.0,0,7.0,7.0,110271.0,190360.0,300631.0,1232.0,2921,95,376,7113,612.0,72,33088.0,19,8.0,8.4,452111,24995,5904,22585,27458,80942,8152,80.1
서울영등포경찰서,2017,0,0,12,3,1,0,0,0,1,1,0,0,0,0,0,2,0,6,6,9,7,0,0,1,4,10,1,0,2,6,1,1,6,19,19,1.0,239.0,1,16.0,17.0,300321.0,793273.0,1093594.0,4576.0,3775,44,513,7951,850.0,342,51151.0,19,10.5,8.8,393560,11186,3242,18072,26462,58962,54145,73.85
서울용산경찰서,2017,1,0,2,1,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,1,4,0,0,0,4,1,0,0,2,1,1,1,0,11,13,1.182,167.0,0,6.0,6.0,112190.0,150720.0,262910.0,1574.0,2051,45,343,9980,949.0,122,33076.0,16,14.2,12.8,223898,8547,2220,13967,20627,45361,17629,78.9
서울은평경찰서,2017,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,2,0,0,0,1,3,1,0,0,2,2,1,0,17,13,0.765,159.0,0,3.0,3.0,100299.0,117901.0,218200.0,1372.0,1796,54,203,4502,237.0,117,28408.0,36,14.6,13.4,299663,35570,9856,33199,43112,121737,5068,79.35
서울종로경찰서,2017,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,2,0,0,0,2,1,2,0,0,1,2,1,1,5,8,1.6,234.0,1,3.0,4.0,193128.0,884537.0,1077665.0,4605.0,805,29,285,5259,46.0,150,33123.0,12,15.9,12.4,77278,5135,1361,8423,14194,29113,3191,80.85
서울종암경찰서,2017,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,2,3,1,0,2,1,2,0,1,0,1,2,1,2,14,17,1.214,183.0,1,8.0,9.0,182471.0,218169.0,400640.0,2189.0,1855,22,176,5751,329.0,21,22341.0,27,12.0,10.9,186703,25191,7588,27582,36260,96621,6332,76.6
서울중랑경찰서,2017,0,0,3,3,1,0,0,0,1,1,0,0,0,1,0,1,0,2,1,5,2,0,1,0,0,5,1,0,0,1,0,4,2,14,13,0.929,196.0,2,5.0,7.0,171049.0,161317.0,332366.0,1696.0,4469,54,406,8132,1584.0,115,47543.0,31,15.3,11.9,396892,35497,7734,33946,40832,118009,8475,72.44999999999997
서울중부경찰서,2017,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,1,0,2,2,1,0,1,2,1,1,1,1,11,12,1.091,198.0,5,14.0,19.0,199688.0,285704.0,485392.0,2451.0,1563,14,236,4933,278.0,206,17171.0,7,11.5,6.4,104135,5355,1318,9075,14915,30663,9434,77.85
서울혜화경찰서,2017,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,3,0,0,1,3,1,0,0,1,2,1,0,1,12,13,1.083,234.0,1,3.0,4.0,193128.0,884537.0,1077665.0,4605.0,784,13,213,4256,24.0,143,39053.0,12,15.9,12.4,77492,5135,1361,8423,14194,29113,8717,80.3
충남세종경찰서,2017,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,2,1,0,1,2,3,0,1,0,1,0,3,3,21,21,1.0,316.0,2,8.0,10.0,1687347.0,2351765.0,4039112.0,12782.0,2527,88,178,10410,39.0,66,31472.0,9,6.9,6.6,276589,9233,2033,8207,11006,30479,6761,81.0
경기수원남부경찰서,2018,0,0,11,1,1,0,0,0,1,0,0,0,0,0,0,3,0,5,4,8,5,0,0,1,4,7,1,0,0,2,4,2,5,18,21,1.167,116.0,1,8.0,9.0,615924.0,810377.0,1426301.0,16755.0,4719,148,395,3671,30.0,223,57117.0,15,8.6,8.5,499358,54994,14146,63160,82665,214965,15884,78.55000000000003
경기수원서부경찰서,2018,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,7,1,1,0,0,4,3,1,1,0,3,2,3,1,14,13,0.929,135.0,0,24.0,24.0,1347730.0,1099781.0,2447511.0,24691.0,2919,102,258,3961,28.0,79,29804.0,49,18.55,16.65,299424,54994,14146,63160,82665,214965,26522,75.94999999999997
경기수원중부경찰서,2018,0,0,6,4,1,0,0,0,0,0,1,0,0,0,0,4,1,2,3,8,2,1,0,1,1,6,2,1,3,2,0,1,5,11,6,0.545,119.0,0,10.0,10.0,516852.0,543848.0,1060700.0,12500.0,4447,96,333,6736,21.0,157,42710.0,23,16.1,12.9,402384,54994,14146,63160,82665,214965,21525,76.35
경남마산동부경찰서,2018,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,3,0,0,1,0,1,0,1,8,10,1.25,76.0,2,4.0,6.0,148990.0,109214.0,258204.0,3397.0,1218,65,185,5647,11.0,337,20069.0,15,15.1,13.4,197683,76386,17619,86290,108663,288958,4234,77.3
경남마산중부경찰서,2018,0,0,14,2,0,2,0,1,2,0,0,0,0,0,0,7,1,4,3,13,3,2,1,0,1,11,3,2,5,5,2,3,3,14,14,1.0,105.0,0,2.0,2.0,236060.0,209335.0,445395.0,4242.0,913,55,142,6843,13.0,487,21903.0,14,15.6,16.5,197683,76386,17619,86290,108663,288958,3580,79.95
경남진주경찰서,2018,0,0,8,2,0,2,0,0,0,2,1,0,0,0,0,2,0,5,2,9,3,0,0,0,2,5,5,0,2,2,1,4,3,15,17,1.133,234.0,0,2.0,2.0,591462.0,603250.0,1194712.0,5106.0,2709,127,289,6153,40.0,370,42140.0,24,13.8,9.6,352333,38161,9848,44325,46154,138488,8855,79.75
경남진해경찰서,2018,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,1,0,2,0,0,0,1,1,0,0,1,13,13,1.0,132.0,0,3.0,3.0,188324.0,767869.0,956193.0,7244.0,1142,106,137,3218,39.0,304,19964.0,12,12.8,12.3,190276,76386,17619,86290,108663,288958,5954,78.5
경남창원서부경찰서,2018,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,0,0,0,2,2,0,0,0,1,0,3,0,9,10,1.111,157.0,0,4.0,4.0,464360.0,739830.0,1204190.0,7670.0,1050,140,155,6078,11.0,332,21387.0,17,13.7,12.2,184502,76386,17619,86290,108663,288958,4523,77.0
경남창원중부경찰서,2018,0,0,6,4,1,1,1,0,0,0,0,0,0,0,0,2,0,8,3,5,7,1,1,2,3,2,4,1,2,3,1,2,5,14,12,0.857,104.0,0,6.0,6.0,93472.0,191939.0,285411.0,2744.0,1429,136,201,2895,21.0,566,27203.0,18,16.2,15.4,295731,76386,17619,86290,108663,288958,8536,78.9
서울강남경찰서,2018,0,0,4,5,0,0,0,0,1,0,0,0,0,0,0,1,1,3,3,6,3,0,0,1,3,3,2,0,2,2,2,2,1,10,12,1.2,436.0,0,23.0,23.0,670429.0,954554.0,1624983.0,3727.0,3095,24,421,5031,604.0,297,45774.0,54,19.3,18.4,324936,23317,12601,36713,53373,126004,7760,80.94999999999997
서울강동경찰서,2018,0,0,6,2,0,0,0,0,2,0,0,0,0,2,0,1,0,3,0,5,3,0,0,1,4,1,2,0,1,0,1,1,5,5,3,0.6,324.0,4,15.0,19.0,236181.0,304444.0,540625.0,1669.0,2619,72,393,7505,1.0,213,42126.0,28,13.0,11.6,414231,26182,8745,34526,41823,111276,8764,78.69999999999997
서울강북경찰서,2018,0,0,10,3,1,1,2,0,3,1,0,0,0,1,0,2,0,5,5,8,9,0,0,3,6,5,3,0,2,5,1,4,5,5,5,1.0,203.0,4,2.0,6.0,104658.0,112180.0,216838.0,1068.0,2299,41,347,8430,22.0,184,40872.0,26,16.1,13.9,309138,40657,14166,54794,69957,179574,7015,73.35
서울강서경찰서,2018,0,0,10,4,0,0,0,0,0,1,0,0,3,0,0,1,0,1,8,4,10,0,1,2,2,8,1,0,0,7,6,1,0,1,1,1.0,383.0,2,18.0,20.0,196115.0,197286.0,393401.0,1027.0,2377,139,500,8573,766.0,289,73011.0,46,15.1,13.8,578539,43743,21221,76671,105084,246719,13192,79.25
서울관악경찰서,2018,0,0,8,9,1,1,2,0,1,0,0,0,0,0,1,3,1,9,6,9,11,1,0,1,11,4,4,1,2,6,1,4,8,12,11,0.917,337.0,1,20.0,21.0,395475.0,421087.0,816562.0,2423.0,4825,78,493,11882,890.0,272,112733.0,34,13.8,12.0,510303,30517,14156,48673,63013,156359,30267,76.5
서울광진경찰서,2018,0,0,4,5,1,0,1,1,1,0,1,0,0,0,0,3,0,2,3,7,3,1,0,2,2,4,2,1,5,1,0,2,3,9,9,1.0,203.0,0,7.0,7.0,315690.0,342495.0,658185.0,3242.0,6459,34,380,9132,1449.0,93,56337.0,23,12.8,11.5,362304,25059,7424,28059,32091,92633,22554,77.65
서울구로경찰서,2018,0,0,10,2,0,2,1,0,0,0,0,0,0,0,0,5,0,5,5,8,5,2,1,2,4,5,1,2,1,1,3,4,6,7,7,1.0,263.0,2,3.0,5.0,74308.0,165019.0,239327.0,910.0,3659,45,395,7816,722.0,107,44151.0,32,15.7,14.0,433765,22181,6584,26635,39943,95343,54089,74.75
서울금천경찰서,2018,0,0,8,5,0,1,0,0,0,1,0,0,1,0,0,2,0,3,7,6,8,0,0,3,4,5,2,0,0,5,3,1,5,5,4,0.8,168.0,0,8.0,8.0,55351.0,148455.0,203806.0,1213.0,4226,50,274,6260,511.0,118,34564.0,19,16.7,12.0,249344,23773,8196,33613,42754,108336,32556,72.4
서울남대문경찰서,2018,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,2,3,0,0,0,1,1,2,1,5,4,0.8,275.0,0,23.0,23.0,558830.0,698175.0,1257005.0,4571.0,725,16,186,1137,161.0,88,3473.0,7,11.4,9.7,75988,7397,2133,13901,23622,47053,2450,80.85
서울노원경찰서,2018,1,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,6,5,4,0,0,0,0,5,4,0,0,1,2,1,5,4,6,1.5,229.0,2,10.0,12.0,105994.0,225006.0,331000.0,1445.0,1998,167,415,4078,61.0,63,51280.0,43,15.4,12.5,534096,53212,27256,90159,114484,285111,7697,80.0
서울도봉경찰서,2018,0,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2,0,1,4,0,0,0,2,2,1,0,1,0,1,3,0,12,15,1.25,237.0,0,8.0,8.0,85113.0,116385.0,201498.0,850.0,10,71,273,6337,622.0,68,30848.0,24,13.9,14.3,328243,35606,10465,36914,43336,126321,4560,82.15
서울동대문경찰서,2018,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,3,0,0,0,2,2,2,0,1,2,0,3,0,6,6,1.0,203.0,1,3.0,4.0,179873.0,529614.0,709487.0,3495.0,26,14,429,10730,2.0,150,55593.0,29,16.9,13.8,358141,26725,8825,39066,60913,135529,22318,76.6
서울동작경찰서,2018,0,0,4,5,1,0,0,0,1,0,0,0,0,0,0,2,0,3,4,3,7,0,0,1,3,2,4,0,1,3,2,2,2,14,15,1.071,205.0,4,9.0,13.0,103520.0,209405.0,312925.0,1526.0,2033,53,353,8848,891.0,83,56872.0,28,14.0,12.0,397980,19659,7501,27251,39287,93698,19970,78.6
서울마포경찰서,2018,0,0,5,3,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,5,3,0,0,0,3,2,3,0,1,3,3,0,1,7,10,1.429,254.0,2,4.0,6.0,132459.0,150525.0,282984.0,1114.0,2317,82,458,7628,710.0,121,56837.0,27,14.0,12.5,368181,16051,8078,25907,37847,87883,14746,80.1
서울방배경찰서,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,10,1.0,242.0,0,15.0,15.0,201149.0,646918.0,848067.0,3504.0,2691,25,141,3231,2.0,24,10750.0,26,11.6,10.5,136831,13609,5693,16649,21707,57658,2488,85.4
서울서대문경찰서,2018,0,0,6,1,0,1,0,1,1,0,0,0,0,0,0,1,0,3,2,5,3,0,0,1,2,3,2,0,2,2,3,0,1,4,3,0.75,229.0,4,9.0,13.0,236471.0,7641030.0,7877501.0,34400.0,2938,58,322,6938,356.0,75,44795.0,23,14.6,11.2,318874,22177,6467,23246,35914,87804,16065,78.19999999999997
서울서부경찰서,2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,13,11,0.846,214.0,5,10.0,15.0,217662.0,201841.0,419503.0,1960.0,1870,46,221,3546,191.0,96,21874.0,39,15.9,13.4,185584,48561,15383,52463,71341,187748,3559,77.65
서울서초경찰서,2018,0,0,7,3,0,0,0,1,4,0,0,0,0,0,0,2,0,2,1,7,2,1,0,0,3,5,1,1,3,0,1,2,4,8,13,1.625,242.0,0,15.0,15.0,201149.0,646918.0,848067.0,3504.0,4237,88,339,4405,1.0,115,30613.0,26,11.6,10.5,297120,13609,5693,16649,21707,57658,6224,84.94999999999997
서울성동경찰서,2018,0,0,4,0,2,1,0,0,1,0,0,0,0,0,0,2,0,1,3,5,2,0,0,1,1,3,2,0,1,3,0,2,1,4,4,1.0,212.0,0,12.0,12.0,162939.0,453146.0,616085.0,2906.0,3241,54,320,6228,751.0,62,40706.0,21,13.7,12.2,306796,17742,6463,25887,34515,84607,13555,81.80000000000003
서울성북경찰서,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,7,1.75,215.0,0,10.0,10.0,184258.0,303307.0,487565.0,2268.0,2015,29,252,7048,482.0,36,34379.0,35,15.8,13.6,255090,34363,11267,40341,57460,143431,10021,79.25
서울송파경찰서,2018,0,0,7,1,0,1,0,0,1,0,1,0,0,0,0,1,0,3,3,3,5,1,1,2,3,2,0,1,1,4,3,1,0,1,1,1.0,340.0,0,28.0,28.0,390994.0,579257.0,970251.0,2854.0,2096,140,538,8817,834.0,241,63451.0,34,10.1,9.3,638167,31969,10612,33782,40033,116396,13112,82.25
서울수서경찰서,2018,0,0,4,3,0,1,1,0,1,0,0,0,0,1,0,2,1,3,1,7,2,0,0,0,4,1,4,0,3,1,1,1,3,1,1,1.0,436.0,0,23.0,23.0,670429.0,954554.0,1624983.0,3727.0,3124,70,312,3031,696.0,115,20383.0,54,19.3,18.4,217428,23317,12601,36713,53373,126004,2846,83.15
