,jur_stn,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0~12세,vic_age_10대,"vic_age_2,30대","vic_age_4,50대",vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,score_전반
15,서울구로경찰서,2017,19.0,1.0,7657.0,4010.0,0.0,189.0,1.0,387.0,0.0,1.0,136.0,331.0,1746.0,822.0,6.0,453.0,57.0,50.0,912.0,700.0,2.0,159.0,1.0,5263.0,34.0,1865.0,6084.0,3559.0,2758.0,103.0,613.0,3859.0,3836.0,1202.0,2788.0,2701.0,1485.0,1845.0,2670.0,3700.0,71.3
16,서울금천경찰서,2017,8.0,1.0,4835.0,4324.0,1.0,85.0,0.0,201.0,0.0,1.0,68.0,349.0,1829.0,553.0,0.0,433.0,88.0,48.0,755.0,423.0,1.0,123.0,0.0,3226.0,13.0,1683.0,4361.0,2553.0,2610.0,67.0,386.0,2722.0,2920.0,788.0,2641.0,1677.0,1332.0,1577.0,2114.0,2824.0,68.0
17,서울남대문경찰서,2017,8.0,2.0,3007.0,1763.0,1.0,66.0,1.0,68.0,0.0,0.0,120.0,204.0,764.0,300.0,0.0,155.0,25.0,110.0,633.0,126.0,0.0,45.0,2.0,1853.0,1.0,818.0,2465.0,1424.0,1147.0,12.0,141.0,1778.0,1524.0,419.0,1162.0,1045.0,334.0,881.0,1564.0,1212.0,70.15
18,서울노원경찰서,2017,24.0,16.0,6263.0,4369.0,5.0,178.0,1.0,354.0,1.0,2.0,123.0,418.0,1427.0,832.0,3.0,648.0,23.0,48.0,1227.0,766.0,0.0,283.0,0.0,4436.0,6.0,1219.0,5404.0,3422.0,2510.0,100.0,1031.0,3330.0,3230.0,1119.0,2526.0,2924.0,1621.0,1724.0,2275.0,2792.0,75.65
19,서울도봉경찰서,2017,13.0,17.0,3327.0,2443.0,0.0,95.0,2.0,69.0,0.0,0.0,232.0,278.0,1004.0,482.0,3.0,379.0,51.0,130.0,560.0,406.0,2.0,194.0,0.0,1838.0,7.0,864.0,2820.0,1868.0,1510.0,73.0,382.0,1533.0,1973.0,724.0,1513.0,1587.0,780.0,916.0,1344.0,1571.0,71.85
20,서울동대문경찰서,2017,21.0,2.0,6137.0,3787.0,3.0,199.0,0.0,462.0,1.0,2.0,250.0,395.0,1616.0,1062.0,1.0,540.0,67.0,50.0,1159.0,500.0,2.0,161.0,1.0,3648.0,6.0,1656.0,5425.0,3055.0,2384.0,66.0,574.0,3021.0,3407.0,1390.0,2406.0,2096.0,1348.0,1943.0,2576.0,2901.0,73.0
21,서울동작경찰서,2017,25.0,10.0,4647.0,3328.0,4.0,134.0,0.0,303.0,0.0,1.0,235.0,338.0,1101.0,436.0,1.0,318.0,31.0,122.0,714.0,429.0,0.0,70.0,4.0,3861.0,5.0,1257.0,4094.0,2942.0,1651.0,77.0,578.0,3090.0,2392.0,896.0,1654.0,1554.0,1154.0,1525.0,1964.0,2490.0,71.8
22,서울마포경찰서,2017,22.0,1.0,7790.0,6549.0,3.0,133.0,0.0,167.0,0.0,1.0,40.0,418.0,1892.0,915.0,2.0,1356.0,100.0,121.0,907.0,766.0,1.0,132.0,0.0,5797.0,40.0,2259.0,6662.0,4232.0,3812.0,73.0,1051.0,5627.0,3136.0,945.0,3874.0,2552.0,3175.0,2392.0,2854.0,3733.0,72.35
23,서울방배경찰서,2017,4.0,0.0,2245.0,1408.0,1.0,54.0,0.0,104.0,0.0,1.0,28.0,93.0,662.0,263.0,2.0,371.0,9.0,40.0,334.0,187.0,0.0,20.0,1.0,1500.0,6.0,357.0,1788.0,1050.0,1007.0,31.0,167.0,1172.0,1096.0,373.0,1006.0,726.0,492.0,736.0,907.0,984.0,77.75
24,서울서대문경찰서,2017,11.0,20.0,4458.0,3723.0,2.0,81.0,1.0,186.0,0.0,2.0,231.0,261.0,966.0,329.0,1.0,312.0,24.0,110.0,1491.0,359.0,0.0,81.0,1.0,3775.0,11.0,994.0,4342.0,2830.0,1543.0,63.0,692.0,3274.0,2280.0,861.0,1545.0,2070.0,1200.0,1399.0,1903.0,2143.0,73.6
25,서울서부경찰서,2017,9.0,10.0,2094.0,1288.0,0.0,54.0,0.0,76.0,0.0,1.0,127.0,149.0,433.0,135.0,1.0,178.0,46.0,80.0,231.0,259.0,0.0,73.0,0.0,1325.0,10.0,739.0,1801.0,1087.0,771.0,46.0,241.0,995.0,1124.0,444.0,809.0,556.0,548.0,751.0,804.0,1000.0,73.1
26,서울서초경찰서,2017,16.0,3.0,5994.0,6915.0,0.0,113.0,2.0,207.0,0.0,2.0,108.0,541.0,3377.0,545.0,2.0,638.0,46.0,210.0,807.0,591.0,1.0,76.0,1.0,5014.0,28.0,1483.0,6427.0,3979.0,2954.0,67.0,505.0,4833.0,3773.0,1191.0,2991.0,2447.0,1572.0,3212.0,3129.0,3000.0,78.55000000000003
27,서울성동경찰서,2017,14.0,0.0,4843.0,3127.0,1.0,116.0,0.0,239.0,1.0,1.0,217.0,291.0,1146.0,409.0,5.0,797.0,60.0,47.0,1032.0,331.0,2.0,118.0,0.0,3111.0,12.0,1198.0,3814.0,2392.0,2353.0,38.0,412.0,2782.0,2262.0,701.0,2364.0,1447.0,1181.0,1710.0,2103.0,2118.0,71.4
28,서울성북경찰서,2017,4.0,1.0,3255.0,1552.0,0.0,83.0,0.0,156.0,1.0,0.0,63.0,186.0,602.0,152.0,1.0,409.0,32.0,156.0,295.0,298.0,0.0,34.0,0.0,2198.0,4.0,748.0,2551.0,1506.0,1058.0,61.0,454.0,1702.0,1359.0,474.0,1065.0,917.0,801.0,894.0,1128.0,1375.0,74.05000000000003
29,서울송파경찰서,2017,20.0,1.0,9868.0,6319.0,1.0,234.0,0.0,625.0,0.0,1.0,239.0,392.0,2570.0,1127.0,3.0,973.0,100.0,147.0,1532.0,905.0,0.0,119.0,1.0,7337.0,26.0,2076.0,8307.0,5033.0,3968.0,181.0,1030.0,5553.0,5003.0,1543.0,3998.0,4019.0,2137.0,2736.0,3796.0,4620.0,73.65
30,서울수서경찰서,2017,13.0,4.0,4808.0,5328.0,2.0,121.0,0.0,108.0,0.0,0.0,77.0,392.0,2684.0,484.0,1.0,401.0,24.0,54.0,1225.0,413.0,1.0,84.0,0.0,3636.0,15.0,1047.0,5091.0,3055.0,2315.0,78.0,470.0,3375.0,3237.0,958.0,2343.0,3081.0,1038.0,1902.0,2245.0,2195.0,77.6
31,서울양천경찰서,2017,13.0,1.0,5947.0,3392.0,0.0,143.0,1.0,369.0,0.0,1.0,96.0,315.0,1294.0,659.0,1.0,468.0,198.0,50.0,752.0,527.0,0.0,107.0,2.0,4437.0,17.0,1136.0,4760.0,2890.0,2313.0,124.0,733.0,2571.0,3161.0,1039.0,2335.0,1817.0,1421.0,1666.0,2286.0,2773.0,75.15
32,서울영등포경찰서,2017,36.0,0.0,9895.0,6973.0,3.0,183.0,2.0,147.0,0.0,0.0,112.0,464.0,2423.0,1033.0,2.0,1521.0,215.0,96.0,1206.0,632.0,1.0,197.0,2.0,7036.0,13.0,2510.0,8099.0,4926.0,4326.0,100.0,800.0,5544.0,4974.0,1574.0,4359.0,3344.0,2389.0,2893.0,3955.0,4770.0,68.55000000000001
33,서울용산경찰서,2017,13.0,1.0,5727.0,4367.0,2.0,122.0,0.0,196.0,0.0,1.0,127.0,305.0,1294.0,653.0,0.0,630.0,57.0,95.0,620.0,427.0,1.0,103.0,3.0,4220.0,24.0,2124.0,5130.0,2967.0,2459.0,47.0,397.0,4170.0,2680.0,791.0,2471.0,1727.0,2405.0,1848.0,2156.0,2420.0,71.6
34,서울은평경찰서,2017,14.0,17.0,3454.0,2092.0,18.0,92.0,0.0,600.0,1.0,0.0,135.0,157.0,713.0,511.0,1.0,595.0,20.0,121.0,756.0,252.0,0.0,48.0,2.0,2321.0,9.0,917.0,2864.0,1933.0,1626.0,59.0,467.0,1848.0,1791.0,553.0,1705.0,1249.0,1109.0,954.0,1367.0,1744.0,71.95
35,서울종로경찰서,2017,18.0,14.0,3078.0,2234.0,2.0,69.0,0.0,213.0,0.0,1.0,180.0,155.0,824.0,333.0,0.0,278.0,25.0,66.0,608.0,284.0,0.0,61.0,0.0,2034.0,9.0,1132.0,3014.0,1515.0,1280.0,23.0,212.0,1897.0,1717.0,666.0,1294.0,1146.0,709.0,908.0,1486.0,1560.0,73.0
36,서울종암경찰서,2017,10.0,0.0,2459.0,1673.0,3.0,90.0,0.0,109.0,0.0,1.0,73.0,178.0,457.0,317.0,3.0,239.0,30.0,137.0,376.0,264.0,0.0,44.0,0.0,1743.0,2.0,628.0,2089.0,1202.0,1127.0,44.0,230.0,1207.0,1329.0,467.0,1141.0,652.0,584.0,982.0,930.0,1270.0,72.0
37,서울중랑경찰서,2017,22.0,1.0,6336.0,4189.0,1.0,140.0,1.0,442.0,0.0,3.0,227.0,378.0,1035.0,877.0,1.0,394.0,100.0,48.0,748.0,608.0,0.0,109.0,1.0,5105.0,11.0,1947.0,5553.0,3335.0,2474.0,99.0,687.0,3213.0,3738.0,1138.0,2487.0,1889.0,1876.0,1921.0,2352.0,3324.0,68.95
38,서울중부경찰서,2017,10.0,2.0,3850.0,2157.0,2.0,108.0,0.0,288.0,0.0,0.0,113.0,201.0,690.0,621.0,0.0,397.0,31.0,68.0,397.0,239.0,0.0,57.0,1.0,2701.0,12.0,1115.0,3093.0,1820.0,1617.0,23.0,227.0,2172.0,1844.0,636.0,1628.0,1000.0,890.0,1280.0,1643.0,1717.0,73.9
39,서울혜화경찰서,2017,10.0,6.0,3535.0,1526.0,2.0,96.0,0.0,80.0,0.0,0.0,67.0,120.0,616.0,342.0,1.0,451.0,26.0,37.0,356.0,213.0,0.0,144.0,1.0,1878.0,6.0,1131.0,2360.0,1331.0,1631.0,16.0,180.0,1469.0,1466.0,562.0,1629.0,853.0,545.0,937.0,1607.0,1380.0,74.75
40,충남세종경찰서,2017,13.0,0.0,1954.0,2585.0,1.0,59.0,3.0,124.0,0.0,1.0,78.0,231.0,949.0,252.0,1.0,289.0,42.0,66.0,463.0,625.0,0.0,39.0,0.0,1771.0,3.0,87.0,2423.0,1296.0,1099.0,72.0,250.0,1397.0,1558.0,419.0,1122.0,1235.0,441.0,825.0,1082.0,1235.0,75.15
41,경기수원남부경찰서,2018,43.0,0.0,10971.0,5707.0,0.0,285.0,0.0,713.0,0.0,0.0,127.0,345.0,1742.0,712.0,6.0,2514.0,90.0,115.0,1872.0,1294.0,0.0,234.0,1.0,7623.0,18.0,1280.0,7749.0,4576.0,5521.0,136.0,1081.0,5841.0,4299.0,974.0,5515.0,4683.0,3341.0,2376.0,2879.0,4567.0,72.7
42,경기수원서부경찰서,2018,31.0,0.0,4900.0,4357.0,0.0,178.0,1.0,145.0,0.0,0.0,187.0,229.0,1205.0,368.0,1.0,370.0,57.0,52.0,895.0,821.0,0.0,116.0,2.0,4822.0,9.0,852.0,5048.0,2987.0,1764.0,95.0,715.0,3362.0,3034.0,782.0,1811.0,1996.0,1227.0,1496.0,2295.0,2785.0,71.05000000000003
43,경기수원중부경찰서,2018,17.0,2.0,7672.0,4699.0,1.0,219.0,0.0,271.0,0.0,0.0,97.0,260.0,1113.0,764.0,4.0,1366.0,63.0,164.0,1437.0,875.0,1.0,155.0,0.0,5477.0,7.0,1292.0,5903.0,3845.0,3230.0,111.0,814.0,3482.0,4093.0,1240.0,3238.0,2861.0,1583.0,2031.0,2882.0,3621.0,70.69999999999997
44,경남마산동부경찰서,2018,1.0,27.0,2808.0,2165.0,1.0,78.0,0.0,99.0,0.0,1.0,32.0,188.0,729.0,388.0,2.0,383.0,59.0,14.0,656.0,307.0,0.0,41.0,0.0,2074.0,3.0,368.0,2450.0,1481.0,1281.0,35.0,282.0,1358.0,1657.0,603.0,1277.0,1317.0,663.0,766.0,1067.0,1399.0,72.19999999999997
45,경남마산중부경찰서,2018,0.0,26.0,2283.0,1677.0,2.0,75.0,0.0,79.0,0.0,2.0,79.0,122.0,531.0,367.0,1.0,440.0,115.0,58.0,389.0,321.0,0.0,56.0,0.0,1628.0,3.0,192.0,1815.0,1196.0,1212.0,32.0,145.0,891.0,1374.0,569.0,1212.0,999.0,643.0,584.0,872.0,1125.0,72.85
46,경남진주경찰서,2018,0.0,0.0,4704.0,3677.0,0.0,106.0,0.0,153.0,0.0,1.0,128.0,267.0,1321.0,313.0,7.0,698.0,475.0,46.0,1211.0,808.0,0.0,72.0,0.0,3131.0,16.0,404.0,4182.0,2393.0,2194.0,68.0,515.0,2401.0,2521.0,1084.0,2180.0,2768.0,1014.0,1111.0,1453.0,2423.0,73.4
47,경남진해경찰서,2018,0.0,0.0,2249.0,1749.0,0.0,59.0,0.0,12.0,0.0,1.0,18.0,174.0,605.0,171.0,0.0,397.0,60.0,8.0,517.0,336.0,0.0,35.0,0.0,1634.0,3.0,148.0,1777.0,1058.0,1253.0,43.0,188.0,1000.0,1239.0,359.0,1259.0,972.0,510.0,777.0,682.0,1147.0,73.85
48,경남창원서부경찰서,2018,0.0,0.0,2925.0,2364.0,0.0,108.0,5.0,316.0,0.0,1.0,54.0,161.0,663.0,191.0,0.0,753.0,127.0,22.0,784.0,570.0,0.0,58.0,1.0,2157.0,4.0,282.0,2571.0,1588.0,1614.0,35.0,263.0,1389.0,1981.0,483.0,1622.0,1540.0,690.0,818.0,1131.0,1594.0,71.6
49,경남창원중부경찰서,2018,0.0,0.0,3290.0,3567.0,1.0,102.0,0.0,313.0,0.0,0.0,36.0,226.0,1127.0,423.0,0.0,545.0,213.0,4.0,986.0,514.0,0.0,57.0,0.0,2915.0,4.0,295.0,3456.0,1998.0,1855.0,40.0,408.0,2339.0,2164.0,502.0,1856.0,2052.0,945.0,1195.0,1292.0,1825.0,73.55000000000003
50,서울강남경찰서,2018,16.0,4.0,6624.0,9061.0,1.0,201.0,0.0,388.0,1.0,2.0,258.0,365.0,3732.0,1284.0,4.0,1206.0,308.0,58.0,1676.0,596.0,0.0,184.0,4.0,6010.0,35.0,1094.0,7323.0,5032.0,4201.0,20.0,607.0,6549.0,3901.0,1116.0,4363.0,5296.0,2451.0,2804.0,2860.0,3145.0,76.15
51,서울강동경찰서,2018,18.0,3.0,5790.0,3365.0,2.0,161.0,0.0,228.0,0.0,2.0,131.0,286.0,1270.0,349.0,3.0,270.0,13.0,75.0,1064.0,508.0,1.0,56.0,2.0,4151.0,1.0,1651.0,4897.0,2997.0,1806.0,78.0,524.0,2926.0,3167.0,1190.0,1815.0,2141.0,1311.0,1581.0,2087.0,2580.0,73.2
52,서울강북경찰서,2018,12.0,0.0,4600.0,2763.0,2.0,159.0,0.0,1050.0,0.0,2.0,305.0,208.0,1050.0,425.0,1.0,278.0,34.0,155.0,981.0,518.0,1.0,50.0,0.0,3575.0,3.0,1614.0,4513.0,2900.0,1480.0,65.0,602.0,2897.0,2792.0,1048.0,1489.0,1955.0,1516.0,1396.0,1834.0,2192.0,69.8
53,서울강서경찰서,2018,16.0,1.0,7231.0,6128.0,2.0,221.0,0.0,276.0,0.0,1.0,130.0,535.0,1984.0,1767.0,1.0,802.0,35.0,75.0,1661.0,756.0,0.0,80.0,2.0,4842.0,6.0,1460.0,6322.0,4179.0,3505.0,102.0,649.0,4245.0,4046.0,1440.0,3524.0,3221.0,1845.0,2357.0,2906.0,3677.0,72.85
54,서울관악경찰서,2018,11.0,0.0,6112.0,6541.0,22.0,215.0,0.0,527.0,0.0,1.0,173.0,472.0,1652.0,742.0,1.0,955.0,52.0,91.0,1388.0,803.0,0.0,73.0,0.0,5278.0,11.0,2084.0,6395.0,4012.0,3195.0,219.0,696.0,4939.0,3184.0,1362.0,3202.0,3053.0,2175.0,2065.0,2820.0,3489.0,70.25
55,서울광진경찰서,2018,8.0,2.0,5101.0,4606.0,0.0,155.0,0.0,332.0,0.0,0.0,107.0,364.0,1297.0,650.0,3.0,730.0,66.0,31.0,1014.0,516.0,0.0,52.0,2.0,4367.0,14.0,1205.0,4771.0,3068.0,2472.0,65.0,705.0,3509.0,2692.0,853.0,2487.0,2115.0,1584.0,1740.0,2121.0,2751.0,72.5
56,서울구로경찰서,2018,17.0,0.0,7011.0,4059.0,2.0,244.0,0.0,339.0,0.0,1.0,162.0,363.0,1685.0,702.0,1.0,290.0,48.0,63.0,942.0,678.0,1.0,77.0,0.0,5527.0,6.0,1452.0,5854.0,3543.0,2438.0,102.0,547.0,3555.0,3810.0,1349.0,2472.0,2735.0,1323.0,1814.0,2724.0,3239.0,69.6
57,서울금천경찰서,2018,9.0,0.0,4640.0,4354.0,3.0,130.0,0.0,363.0,1.0,2.0,77.0,249.0,1618.0,593.0,0.0,564.0,42.0,69.0,930.0,431.0,1.0,65.0,0.0,3459.0,9.0,1549.0,4451.0,2523.0,2605.0,55.0,391.0,2654.0,2956.0,907.0,2616.0,2138.0,1162.0,1572.0,2172.0,2535.0,67.85
58,서울남대문경찰서,2018,2.0,0.0,2565.0,1690.0,0.0,92.0,0.0,102.0,0.0,0.0,88.0,184.0,807.0,244.0,0.0,110.0,26.0,88.0,518.0,162.0,0.0,16.0,0.0,1732.0,5.0,647.0,2206.0,1491.0,842.0,7.0,116.0,1646.0,1449.0,462.0,859.0,890.0,295.0,819.0,1471.0,1064.0,74.0
59,서울노원경찰서,2018,19.0,6.0,5584.0,4063.0,1.0,209.0,4.0,374.0,0.0,2.0,237.0,362.0,1253.0,721.0,1.0,366.0,11.0,86.0,1395.0,695.0,1.0,175.0,1.0,4410.0,6.0,1016.0,5003.0,3306.0,2190.0,124.0,866.0,3020.0,3136.0,1154.0,2199.0,2699.0,1412.0,1525.0,2238.0,2625.0,74.19999999999997
60,서울도봉경찰서,2018,6.0,11.0,3118.0,2631.0,1.0,111.0,0.0,78.0,0.0,0.0,167.0,240.0,1047.0,339.0,1.0,179.0,33.0,124.0,766.0,409.0,1.0,101.0,1.0,2261.0,4.0,617.0,2902.0,1951.0,1270.0,75.0,335.0,1626.0,2032.0,779.0,1276.0,1689.0,672.0,960.0,1304.0,1498.0,74.3
61,서울동대문경찰서,2018,11.0,0.0,5690.0,3604.0,6.0,176.0,0.0,436.0,0.0,3.0,166.0,414.0,1399.0,960.0,1.0,328.0,62.0,44.0,1137.0,494.0,0.0,172.0,0.0,3709.0,2.0,1370.0,5151.0,2896.0,2045.0,69.0,521.0,2972.0,3076.0,1403.0,2051.0,2036.0,1215.0,1844.0,2422.0,2575.0,71.35
62,서울동작경찰서,2018,14.0,3.0,4295.0,3398.0,0.0,206.0,0.0,147.0,0.0,1.0,205.0,292.0,1190.0,474.0,0.0,243.0,15.0,180.0,851.0,453.0,1.0,58.0,3.0,3546.0,1.0,962.0,4035.0,2809.0,1425.0,65.0,484.0,3032.0,2257.0,992.0,1439.0,1748.0,998.0,1482.0,1881.0,2160.0,73.65
63,서울마포경찰서,2018,20.0,2.0,7156.0,6356.0,0.0,163.0,1.0,170.0,0.0,0.0,90.0,363.0,1774.0,848.0,0.0,1003.0,58.0,145.0,1234.0,766.0,1.0,73.0,1.0,5765.0,15.0,1912.0,6342.0,4284.0,3332.0,62.0,993.0,5526.0,3013.0,991.0,3373.0,2837.0,2925.0,2149.0,2858.0,3189.0,73.94999999999997
64,서울방배경찰서,2018,5.0,0.0,2338.0,1610.0,1.0,68.0,0.0,59.0,0.0,0.0,24.0,141.0,646.0,291.0,1.0,563.0,8.0,40.0,505.0,152.0,0.0,8.0,1.0,1478.0,1.0,270.0,1795.0,1126.0,1184.0,26.0,205.0,1136.0,1109.0,435.0,1194.0,1015.0,426.0,743.0,966.0,955.0,80.19999999999997
65,서울서대문경찰서,2018,6.0,33.0,4313.0,3377.0,1.0,117.0,1.0,135.0,0.0,0.0,200.0,228.0,943.0,354.0,0.0,295.0,57.0,149.0,1238.0,458.0,0.0,41.0,0.0,3505.0,4.0,911.0,3866.0,2779.0,1538.0,56.0,568.0,2960.0,2141.0,919.0,1539.0,1974.0,1029.0,1325.0,1851.0,2004.0,73.05
66,서울서부경찰서,2018,2.0,4.0,2026.0,1304.0,1.0,61.0,0.0,99.0,0.0,0.0,28.0,116.0,476.0,156.0,0.0,121.0,9.0,69.0,325.0,234.0,0.0,54.0,0.0,1415.0,0.0,550.0,1730.0,1102.0,693.0,28.0,227.0,995.0,1098.0,480.0,697.0,726.0,456.0,611.0,782.0,950.0,71.95
