,year,police,dead_num,dptt,age_stndrd_dptt
35,2018,서울남대문경찰서,7,11.4,9.7
36,2018,서울종암경찰서,35,15.8,13.6
37,2018,서울은평경찰서,39,15.9,13.4
38,2018,서울방배경찰서,26,11.6,10.5
39,2018,서울강남경찰서,54,19.3,18.4
40,2018,수원서부경찰서,49,18.549999999999997,16.65
0,2019,서울종로경찰서,9,12.0,11.4
1,2019,서울중부경찰서,5,8.1,8.8
2,2019,서울용산경찰서,13,11.5,11.1
3,2019,서울성동경찰서,16,10.5,10.2
4,2019,서울광진경찰서,23,12.8,9.9
5,2019,서울동대문경찰서,23,13.5,12.2
6,2019,서울중랑경찰서,35,17.6,15.4
7,2019,서울성북경찰서,30,13.5,11.3
8,2019,서울강북경찰서,25,15.7,13.0
9,2019,서울도봉경찰서,27,15.9,14.0
10,2019,서울노원경찰서,40,14.6,11.9
11,2019,서울서부경찰서,38,15.5,12.8
12,2019,서울서대문경찰서,33,21.0,17.3
13,2019,서울마포경찰서,27,14.0,11.8
14,2019,서울양천경찰서,32,13.8,13.4
15,2019,서울강서경찰서,42,13.9,11.6
16,2019,서울구로경찰서,26,12.8,11.8
17,2019,서울금천경찰서,23,20.4,19.4
18,2019,서울영등포경찰서,21,11.6,10.3
19,2019,서울동작경찰서,24,12.0,9.2
20,2019,서울관악경찰서,39,15.9,13.9
21,2019,서울서초경찰서,26,11.8,11.6
22,2019,서울수서경찰서,54,19.5,19.2
23,2019,서울송파경찰서,40,11.7,9.6
24,2019,서울강동경찰서,42,19.5,17.1
25,2019,세종경찰서,30,18.4,18.2
26,2019,수원중부경찰서,20,14.4,13.2
27,2019,수원남부경찰서,29,16.2,16.1
28,2019,진주경찰서,28,16.1,15.1
29,2019,창원서부경찰서,27,21.6,20.6
30,2019,창원중부경찰서,10,9.2,9.2
31,2019,마산중부경찰서,10,11.2,11.7
32,2019,마산동부경찰서,15,15.5,18.8
33,2019,진해경찰서,15,15.9,16.0
34,2019,서울혜화경찰서,9,12.0,11.4
35,2019,서울남대문경찰서,5,8.1,8.8
36,2019,서울종암경찰서,30,13.5,11.3
37,2019,서울은평경찰서,38,15.5,12.8
38,2019,서울방배경찰서,26,11.8,11.6
39,2019,서울강남경찰서,54,19.5,19.2
40,2019,수원서부경찰서,61,20.75,17.85
